Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7081,2117411,SPG240,WORKING,20001172882,2024-04-24,YES,US,YES,107.06733390180162
MB 7081,2093890,SPG240,WORKING,20001172878,2024-04-24,YES,US,YES,107.0526911378028
MB 7081,2109888,SPG240,WORKING,20001172885,2024-04-24,YES,US,YES,107.00110242242333
MB 7081,2109950,SPG240,WORKING,20001172883,2024-04-24,YES,TR,NO,106.9526869150455
MB 7081,2106125,SPG240,WORKING,20001172879,2024-04-24,YES,US,YES,106.86437758971378
MB 7081,2088885,SPG240,WORKING,20001172880,2024-04-24,YES,US,YES,106.77780997762726
MB 7081,2099966,SPG240,WORKING,20001172884,2024-04-24,YES,US,YES,106.75139005926806
MB 7081,2117645,SPG240,WORKING,20001172820,2024-04-22,YES,US,YES,106.57747981653561
MB 7081,2106650,SPG240,WORKING,20001172953,2024-04-26,YES,US,YES,106.5131015368666
MB 7081,2056749,SPG240,WORKING,20001172954,2024-04-26,YES,US,YES,106.34601764924314
MB 7081,2117681,SPG240,WORKING,20001172813,2024-04-22,YES,US,YES,106.33341005159281
MB 7081,2109697,SPG240,WORKING,20001172887,2024-04-24,YES,TR,NO,106.21097831867222
MB 7081,2117583,SPG240,WORKING,20001172822,2024-04-22,YES,US,YES,106.18872677868171
MB 7081,2106604,SPG240,WORKING,20001172886,2024-04-24,YES,US,YES,106.161652958052
MB 7081,2088423,SPG240,WORKING,20001172888,2024-04-24,YES,US,YES,105.8614865751658
MB 7081,2117654,SPG240,WORKING,20001172827,2024-04-22,YES,US,YES,105.79545018669798
MB 7081,2109807,SPG240,WORKING,20001172891,2024-04-24,YES,TR,NO,105.56614358181452
MB 7081,2093845,SPG240,WORKING,20001172890,2024-04-24,YES,US,YES,105.48515525616124
MB 7081,2117775,SPG240,WORKING,20001172832,2024-04-22,YES,US,YES,105.48302204628719
MB 7081,2109882,SPG240,WORKING,20001172955,2024-04-26,YES,US,YES,105.37093814410883
MB 7081,2093027,SPG240,WORKING,20001172889,2024-04-24,YES,US,YES,105.33008427159915
MB 7081,2109880,SPG240,WORKING,20001172956,2024-04-26,YES,US,YES,105.1965650817152
MB 7081,2109751,SPG240,WORKING,20001172957,2024-04-26,YES,US,YES,105.16410108662966
MB 7081,2117674,SPG240,WORKING,20001172818,2024-04-22,YES,US,YES,104.92423926876486
MB 7081,2093989,SPG240,WORKING,20001172958,2024-04-26,YES,US,YES,104.85048457848625
MB 7081,2106306,SPG240,WORKING,20001172959,2024-04-26,YES,US,YES,104.73438714556629
MB 7081,2099854,SPG240,WORKING,20001172960,2024-04-26,YES,US,YES,104.70079959896809
MB 7081,2106880,SPG240,WORKING,20001172961,2024-04-26,YES,US,YES,104.46305586486402
MB 7081,2117732,SPG240,WORKING,20001172829,2024-04-22,YES,US,YES,104.45894689262735
MB 7081,2099974,SPG240,WORKING,20001172962,2024-04-26,YES,US,YES,104.4441850172875
MB 7081,2093880,SPG240,WORKING,20001172963,2024-04-26,YES,US,YES,104.19511869975508
MB 7081,2109698,SPG240,WORKING,20001172964,2024-04-26,YES,US,YES,104.13671928639666
MB 7081,2106154,SPG240,WORKING,20001172965,2024-04-26,YES,US,YES,104.13434491080895
MB 7081,2088578,SPG240,WORKING,20001172966,2024-04-26,YES,US,YES,104.06255508766128
MB 7081,2080214,SPG240,WORKING,20001172967,2024-04-26,YES,US,YES,103.79031848311338
MB 7081,2109852,SPG240,WORKING,20001172968,2024-04-26,YES,US,YES,103.62259384877478
MB 7081,2088893,SPG240,WORKING,20001172969,2024-04-26,YES,US,YES,103.582170449881
MB 7081,2109773,SPG240,WORKING,20001172970,2024-04-26,YES,US,YES,103.29223013146569
MB 7081,2093963,SPG240,WORKING,20001172971,2024-04-26,YES,US,YES,103.01785410348248
MB 7081,2106528,SPG240,WORKING,20001172973,2024-04-26,YES,US,YES,102.8815868955481
MB 7081,2088743,SPG240,WORKING,20001172972,2024-04-26,YES,US,YES,102.8776336190991
MB 7081,2109690,SPG240,WORKING,20001172974,2024-04-26,YES,US,YES,102.81491995831259
MB 7081,2110016,SPG240,WORKING,20001172938,2024-04-25,YES,US,NO,102.79623936118578
MB 7081,2106591,SPG240,WORKING,20001172981,2024-04-26,YES,US,YES,102.79198249452216
MB 7081,2066364,SPG240,WORKING,20001172982,2024-04-26,YES,US,YES,102.74019957128088
MB 7081,2088762,SPG240,WORKING,20001172937,2024-04-25,YES,US,NO,102.61781698584568
MB 7081,2088796,SPG240,WORKING,20001172983,2024-04-26,YES,US,YES,102.59552216962246
MB 7081,2088425,SPG240,WORKING,20001172984,2024-04-26,YES,US,YES,102.58821631556131
MB 7081,2088937,SPG240,WORKING,20001172991,2024-04-26,YES,US,YES,102.51591151154824
MB 7081,2109940,SPG240,WORKING,20001172936,2024-04-25,YES,US,NO,102.48050075444615
MB 7081,2106088,SPG240,WORKING,20001172935,2024-04-25,YES,US,NO,102.4143276518615
MB 7081,2093916,SPG240,WORKING,20001172934,2024-04-25,YES,US,NO,102.27498578829639
MB 7081,2106701,SPG240,WORKING,20001172933,2024-04-25,YES,US,NO,102.25488895983098
MB 7081,2106795,SPG240,WORKING,20001172932,2024-04-25,YES,US,NO,102.22512272914203
MB 7081,2109736,SPG240,WORKING,20001172931,2024-04-25,YES,US,NO,102.12307764263873
MB 7081,2068257,SPG240,WORKING,NA,NA,NO,NA,NO,102.07960335716382
MB 7081,2079910,SPG240,WORKING,NA,NA,NO,NA,NO,101.89326962242252
MB 7081,2080112,SPG240,WORKING,20001172930,2024-04-25,YES,US,NO,101.83587287141256
MB 7081,2079898,SPG240,WORKING,20001172929,2024-04-25,YES,TR,NO,101.8117267424112
MB 7081,2093883,SPG240,WORKING,20001172928,2024-04-25,YES,US,NO,101.7816401568548
MB 7081,2093693,SPG240,WORKING,NA,NA,NO,NA,NO,101.75485180817711
MB 7081,2093786,SPG240,WORKING,20001172985,2024-04-26,YES,TR,NO,101.68950706038655
