Boar Stud,Inventory,Target,Inventory to target,Average Inventory,Total Non-Genetic Removals,% Non-Genetic Removals,14 Day Rest,Batches,Incomplete Batches,Missing Scores,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Total Boars in Stud,Treated Boars,Treatment Rate,actual,target,Missed Index,WeekCommencing,yrwk,Collections,Treatments,Lutalyse Usage,scores,% Missing Scores,% 14 Day Rest,TScore,RScore,PScore,LScorea,LScoreb,LScore,Total
SPGNC,184,220,83.63636363636363,179.53846153846155,20,44.558697514995714,0,73,0,0,0,0,0,0,0,0,184,2.6153846153846154,1.4214046822742477,112.68510834813995,112.8179757001294,0.13286735198944655,19793,202411,128,0,0,438,0,0,3,3,2,2,0,2,10
SPGVA,256,292,87.67123287671232,255.6153846153846,0,0,2,57,0,0,0,0,0,0,0,0,256,3.5384615384615383,1.3822115384615383,115.11009525995219,115.12307541300814,0.053809862476299736,19793,202411,129,5,3.875968992248062,342,0,0.78125,3,3,2,2,2,2,10
MB 7081,219,200,109.5,225.46153846153845,19,33.70863186625725,0,32,1,1,0,0,0,0,0,1,219,1.9230769230769231,0.8781173164734809,108.0437105591067,108.47300510193885,0.3157202686961755,19800,202412,68,1,1.4705882352941175,192,0.5208333333333333,0,3,3,2,2,2,2,10
MB 7082,185,200,92.5,188.46153846153845,0,0,4,29,0,0,0,0,0,0,0,0,185,1.1538461538461537,0.6237006237006236,104.18426202133985,104.18426202133985,0,19800,202412,89,3,3.3707865168539324,174,0,2.1621621621621623,3,2,2,2,2,2,9
MB 7092,452,250,180.8,457.6923076923077,23,20.100840336134453,0,49,0,0,0,0,0,0,0,0,452,11,2.433628318584071,105.10586151649524,105.11360123953801,0.007739723,19800,202412,364,17,4.670329670329671,294,0,0,3,3,2,2,2,2,10
MB 7093,486,450,108,430.15384615384613,59,54.86409155937053,1,46,0,0,0,0,0,0,0,0,486,0.38461538461538464,0.079138968,103.37382302365172,103.37382302365172,0,19800,202412,309,1,0.3236245954692557,276,0,0.205761317,3,3,2,2,2,2,10
MB 7094,476,450,105.77777777777777,477.15384615384613,48,40.23859422859907,5,38,1,1,0,0,0,0,0,1,476,4.538461538461538,0.9534583063994828,104.5725999980383,104.59866834459442,0.026068346556115785,19800,202412,388,11,2.8350515463917527,228,0.43859649122807015,1.050420168067227,3,3,2,2,2,2,10
MBW Cimarron,371,399,92.98245614035088,342.15384615384613,9,10.52158273381295,1,34,1,1,0,0,0,0,0,1,371,3.3846153846153846,0.9122952519178934,105.86510308430655,105.92890612255405,0.062030732,19800,202412,247,10,4.048582995951417,204,0.49019607843137253,0.2695417789757413,3,3,2,2,2,2,10
MBW Cyclone,244,403,60.545905707196034,302.9230769230769,13,17.166074149314372,0,28,0,0,0,0,0,0,0,0,244,3.769230769230769,1.544766708701135,104.47621491200977,104.48315774761522,0.005838294,19800,202412,194,5,2.5773195876288657,168,0,0,3,3,2,2,2,2,10
MBW Yuma,154,203,75.86206896551724,157.92307692307693,14,35.460301997077444,0,25,0,0,0,0,0,0,0,0,154,2.769230769230769,1.798201798201798,105.33112658081768,105.33112658081768,0,19800,202412,67,3,4.477611940298507,150,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,243,200,121.50000000000001,241.6153846153846,5,8.277618592804838,0,13,0,0,0,0,0,0,0,0,243,0.076923077,0.031655587,105.78228926106382,105.78228926106382,0.033333333,19800,202412,184,0,0,78,0,0,3,3,2,2,0,2,10
SPGNC,184,220,83.63636363636363,179.69230769230768,20,44.520547945205486,0,70,0,0,0,0,0,0,0,0,184,2.4615384615384617,1.3377926421404684,113.3292784643886,113.50323198340277,0.17395351901417655,19800,202412,124,2,1.6129032258064515,420,0,0,3,3,2,2,2,2,10
SPGVA,254,292,86.98630136986301,253.6153846153846,0,0,3,59,0,0,0,0,0,0,0,0,254,3.4615384615384617,1.362810417928528,114.33428502860144,114.58933450161355,1.026426413286672,19800,202412,144,1,0.6944444444444444,354,0,1.1811023622047243,3,3,2,2,2,2,10
MB 7081,218,200,109.00000000000001,225.46153846153845,18,31.934493346980553,0,30,1,1,0,0,0,0,0,1,218,2.076923076923077,0.9527170077628794,108.44163677292282,108.69550774974296,0.16640282514261184,19807,202413,91,4,4.395604395604396,180,0.5555555555555556,0,3,3,2,2,2,2,10
MB 7082,184,200,92,188.76923076923077,0,0,8,29,0,0,0,0,0,0,0,0,184,1.0769230769230769,0.5852842809364548,104.41131685570434,104.41131685570434,0,19807,202413,85,3,3.5294117647058822,174,0,4.3478260869565215,3,1,2,2,2,2,8
MB 7092,450,250,180,456.6923076923077,23,20.144854303520297,0,49,0,0,0,0,0,0,0,0,450,11.384615384615385,2.5299145299145303,105.42598743004368,105.4266024384497,6.150084060294603e-4,19807,202413,437,22,5.034324942791762,294,0,0,3,3,2,1,1,1,9
MB 7093,484,450,107.55555555555556,435.84615384615387,58,53.229791740204725,0,45,0,0,0,0,0,0,0,0,484,0.38461538461538464,0.07946598855689765,104.81001596093456,105.0015936894389,0.19157772850434185,19807,202413,394,2,0.5076142131979695,270,0,0,3,3,2,2,2,2,10
MB 7094,472,450,104.8888888888889,477.61538461538464,50,41.87469801900467,5,38,0,0,0,0,0,0,0,0,472,4.6923076923076925,0.9941329856584094,103.95514203500754,103.98816132770713,0.03301929269959203,19807,202413,407,3,0.7371007371007371,228,0,1.059322033898305,3,3,2,2,2,2,10
MBW Cimarron,367,399,91.97994987468672,345.61538461538464,12,13.88827064322279,0,32,0,0,0,0,0,0,0,0,367,3.4615384615384617,0.9431984908824147,105.66042191906176,105.68779326130165,0.07661102717766927,19807,202413,241,7,2.904564315352697,192,0,0,3,3,2,2,2,2,10
MBW Cyclone,244,403,60.545905707196034,294.0769230769231,12,16.32226000523149,1,30,0,0,0,0,0,0,0,0,244,3.4615384615384617,1.4186633039092056,104.65816557408995,104.6781341818058,0.0639974774434028,19807,202413,170,8,4.705882352941177,180,0,0.4098360655737705,3,3,2,2,2,2,10
MBW Yuma,146,203,71.92118226600985,157.92307692307693,15,37.99318071115441,0,18,0,0,0,0,0,0,0,0,146,2.5384615384615383,1.738672286617492,105.14139772290103,105.14139772290103,0,19807,202413,67,3,4.477611940298507,108,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,240,200,120,241,4,6.639004149377594,0,16,0,0,0,0,0,0,0,0,240,0.07692307692307693,0.03205128205128205,104.60776889095843,104.60776889095843,0.18666666666666668,19807,202413,162,0,0,96,0,0,3,3,2,2,0,2,10
SPGNC,184,220,83.63636363636363,179.84615384615384,19,42.25834046193328,0,67,0,0,0,0,0,0,0,0,184,2.4615384615384617,1.3377926421404684,113.07070436621196,113.21496810833361,0.14426374212165172,19807,202413,124,3,2.4193548387096775,402,0,0,3,3,2,2,2,2,10
SPGVA,253,292,86.64383561643835,253.69230769230768,0,0,3,62,0,0,0,0,0,0,0,0,253,3,1.185770750988142,113.04906186262171,113.09578375945475,0.03429837235549561,19807,202413,137,3,2.18978102189781,372,0,1.185770750988142,3,3,2,2,2,2,10
MB 7081,218,200,109.00000000000001,225.53846153846155,16,28.37653478854024,2,33,0,0,0,0,0,0,0,0,218,2,0.9174311926605505,108.5792783065249,108.70619508745727,0.08773440177832306,19814,202414,78,0,0,198,0,0.9174311926605505,3,3,2,2,0,0,8
MB 7082,176,200,88,190.76923076923077,0,0,0,29,0,0,0,0,0,0,0,0,176,1.0769230769230769,0.6118881118881119,105.398811189336,105.398811189336,0,19814,202414,83,3,3.614457831325301,174,0,0,3,3,2,2,2,2,10
MB 7092,445,250,178,456.2307692307692,24,21.041982802225593,0,51,0,0,0,0,0,0,0,0,445,11.538461538461538,2.592912705272256,104.13218323440452,104.13685768080055,0.004674446396023768,19814,202414,427,20,4.683840749414521,306,0,0,3,3,2,2,2,2,10
MB 7093,484,450,107.55555555555556,437.2307692307692,56,51.231527093596064,1,46,0,0,0,0,0,0,0,0,484,0.15384615384615385,0.03178639542275906,105.25585321200673,105.25801319291224,0.0021599809055175,19814,202414,356,2,0.5617977528089888,276,0,0.2066115702479339,3,3,2,2,2,2,10
MB 7094,470,450,104.44444444444446,477.84615384615387,48,40.18029620090148,7,40,0,0,0,0,0,0,0,0,470,4.230769230769231,0.900163666121113,103.6249981049483,103.63779348022025,0.012795375271949183,19814,202414,410,9,2.195121951219512,240,0,1.4893617021276597,3,3,2,2,2,2,10
MBW Cimarron,321,399,80.45112781954887,349.38461538461536,13,14.883311316600617,0,33,0,0,0,0,0,0,0,0,321,3.5384615384615383,1.1023244668104482,105.91904258993179,105.92062341304208,0.06585284101285088,19814,202414,240,10,4.166666666666666,198,0,0,3,3,2,2,2,2,10
MBW Cyclone,310,403,76.92307692307693,295.7692307692308,11,14.876462938881666,17,31,0,0,0,0,0,0,0,0,310,3.1538461538461537,1.0173697270471465,106.3043648555737,106.50887990245629,0.17490200841995332,19814,202414,165,3,1.8181818181818181,186,0,5.483870967741936,3,1,2,2,2,2,8
MBW Yuma,144,203,70.93596059113301,157.30769230769232,16,40.68459657701711,0,19,0,0,0,0,0,0,0,0,144,2.6153846153846154,1.8162393162393164,105.45930480283681,105.45930480283681,0,19814,202414,95,3,3.1578947368421053,114,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,238,200,119,241.07692307692307,4,6.636885768985322,0,17,0,0,0,0,0,0,0,0,238,0.07692307692307693,0.03232062055591468,105.092225101592,105.092225101592,0,19814,202414,179,0,0,102,0,0,3,3,2,2,0,2,10
SPGNC,184,220,83.63636363636363,180.15384615384616,15,33.304867634500425,0,68,0,0,0,0,0,0,0,0,184,2.5384615384615383,1.3795986622073577,113.22028808070483,113.34925408154123,0.12896600083639953,19814,202414,123,1,0.8130081300813009,408,0,0,3,3,2,2,2,2,10
SPGVA,260,292,89.04109589041096,255.92307692307693,0,0,1,60,0,0,0,0,0,0,0,0,260,2.6923076923076925,1.0355029585798818,112.91346985242598,113.27789251023829,0.22409899072366338,19814,202414,124,7,5.64516129032258,360,0,0.38461538461538464,3,3,2,1,1,2,10
MB 7081,218,200,109.00000000000001,224.92307692307693,15,26.67578659370725,2,30,0,0,0,0,0,0,0,0,218,2.076923076923077,0.9527170077628794,108.5749069653986,108.68046415376419,0.06942049324944494,19821,202415,104,0,0,180,0,0.9174311926605505,3,3,2,2,0,0,8
MB 7082,176,200,88,190.46153846153845,0,0,0,29,0,0,0,0,0,0,0,0,176,1,0.5681818181818182,104.5365865231854,104.5365865231854,0,19821,202415,77,6,7.792207792207792,174,0,0,3,3,2,1,1,1,9
MB 7092,441,250,176.4,455.9230769230769,25,21.933524548675553,0,52,0,0,0,0,0,0,0,0,441,11.461538461538462,2.5989883132740275,104.70286123980308,104.70486407702612,0.002002837223031406,19821,202415,406,25,6.157635467980295,312,0,0,3,3,2,1,1,1,9
MB 7093,482,450,107.11111111111111,438.84615384615387,55,50.13146362839615,0,40,0,0,0,0,0,0,0,0,482,0.3076923076923077,0.06383657835939993,104.80615518183629,104.85458942691348,0.048434245077189075,19821,202415,348,7,2.0114942528735633,240,0,0,3,3,2,2,2,2,10
MB 7094,468,450,104,478.3076923076923,50,41.814088131231905,7,42,0,0,0,0,0,0,0,0,468,4.461538461538462,0.9533201840894149,104.05370917906555,104.10560977220096,0.0519005931354144,19821,202415,379,12,3.16622691292876,252,0,1.4957264957264957,3,3,2,2,2,2,10
MBW Cimarron,321,399,80.45112781954887,350.2307692307692,14,15.98945750054909,2,33,0,0,0,0,0,0,0,0,321,3.3076923076923075,1.0304337407141146,105.82768001372072,105.82811361909549,0.02511158051752048,19821,202415,239,9,3.765690376569038,198,0,0.6230529595015576,3,3,2,2,2,2,10
MBW Cyclone,277,403,68.73449131513648,280.38461538461536,11,15.692729766803842,1,35,0,0,0,0,0,0,0,0,277,3.1538461538461537,1.1385726187170229,106.4375708301095,106.4375708301095,0,19821,202415,167,2,1.1976047904191618,210,0,0.36101083032490977,3,3,2,2,2,2,10
MBW Yuma,141,203,69.45812807881774,156.76923076923077,15,38.272816486751715,0,19,0,0,0,0,0,0,0,0,141,2.6923076923076925,1.9094380796508457,105.3149403731601,105.3149403731601,0,19821,202415,92,3,3.260869565217391,114,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,237,200,118.5,240.53846153846155,4,6.651742884553885,0,18,0,0,0,0,0,0,0,0,237,0.07692307692307693,0.03245699448231094,104.03997580081813,104.03997580081813,0,19821,202415,178,0,0,108,0,0,3,3,2,2,0,2,10
SPGNC,184,220,83.63636363636363,180.53846153846155,15,33.23391563698338,0,64,1,2,0,0,0,0,1,1,184,2.3076923076923075,1.2541806020066888,114.01020322017031,114.07659038548935,0.06638716531904265,19821,202415,136,2,1.4705882352941175,384,0.5208333333333333,0,3,3,2,2,2,2,10
SPGVA,260,292,89.04109589041096,256.46153846153845,0,0,1,58,0,0,0,0,0,0,0,0,260,2.5384615384615383,0.9763313609467454,113.80301939118374,113.95083692792946,0.17355604703883493,19821,202415,119,3,2.5210084033613445,348,0,0.38461538461538464,3,3,2,2,2,2,10
MB 7081,213,200,106.5,224.3846153846154,15,26.739801165581078,3,30,0,0,0,0,0,0,0,0,213,2,0.9389671361502347,108.31518782577197,108.31518782577197,0,19828,202416,87,0,0,180,0,1.4084507042253522,3,3,2,2,0,0,8
MB 7082,176,200,88,187.69230769230768,0,0,0,29,0,0,0,0,0,0,0,0,176,1,0.5681818181818182,108.70313207075928,110.67136099572767,1.6289969243965465,19828,202416,25,3,12,174,0,0,3,3,2,0,0,0,8
MB 7092,407,250,162.79999999999998,455.53846153846155,27,23.70820668693009,0,48,0,0,0,0,0,0,0,0,407,11.384615384615385,2.797202797202797,104.54546945290812,104.58930127782266,0.04383182491453397,19828,202416,400,25,6.25,288,0,0,3,3,2,1,1,1,9
MB 7093,480,450,106.66666666666667,440.53846153846155,57,51.754845468831846,0,41,0,0,0,0,0,0,0,0,480,0.3076923076923077,0.0641025641025641,105.64916055479407,105.69361831053007,0.044457755736004856,19828,202416,436,3,0.6880733944954129,246,0,0,3,3,2,2,2,2,10
MB 7094,467,450,103.77777777777777,478.61538461538464,47,39.279974284795884,11,40,0,0,0,0,0,0,0,0,467,4.538461538461538,0.9718333058804149,103.78100453020497,103.79672451522504,0.01571998502006977,19828,202416,369,20,5.420054200542006,240,0,2.355460385438972,3,2,2,1,1,1,8
MBW Cimarron,321,399,80.45112781954887,351.2307692307692,10,11.388523872098116,0,34,0,0,0,0,0,0,0,0,321,3.4615384615384617,1.0783608914450036,105.74072818041095,105.74072818041095,0.012422360248447381,19828,202416,242,4,1.6528925619834711,204,0,0,3,3,2,2,2,2,10
MBW Cyclone,276,403,68.4863523573201,274.7692307692308,11,16.013437849944008,1,34,0,0,0,0,0,0,0,0,276,3,1.0869565217391304,105.2850540217847,107.48655579818215,2.083795135824323,19828,202416,135,4,2.9629629629629632,204,0,0.36231884057971014,3,3,2,2,2,2,10
MBW Yuma,141,203,69.45812807881774,156.46153846153845,15,38.34808259587021,0,17,0,0,0,0,0,0,0,0,141,2.769230769230769,1.9639934533551555,104.40878862879023,104.40878862879023,0,19828,202416,92,3,3.260869565217391,102,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,237,200,118.5,240.15384615384616,3,4.996796925048046,0,20,0,0,0,0,0,0,0,0,237,0,0,104.8817061017713,104.88663170416945,0.0041678174138155555,19828,202416,177,0,0,120,0,0,0,3,2,2,0,2,7
SPGNC,184,220,83.63636363636363,180.92307692307693,21,46.42857142857142,0,54,0,0,0,0,0,0,0,0,184,1.3076923076923077,0.7107023411371238,114.57458012086929,114.72715168634039,0.1525715654711064,19828,202416,117,1,0.8547008547008548,324,0,0,3,3,2,2,2,2,10
SPGVA,260,292,89.04109589041096,257.15384615384613,0,0,6,74,0,0,0,0,0,0,0,0,260,2.8461538461538463,1.0946745562130178,113.64341512295918,114.13513204992732,0.3304129615076907,19828,202416,124,1,0.8064516129032258,444,0,2.307692307692308,3,2,2,2,2,2,9
MB 7081,213,200,106.5,223.46153846153845,14,25.060240963855424,3,30,0,0,0,0,0,0,0,0,213,2,0.9389671361502347,108.23972360593703,108.2430207178511,0.210862795107354,19835,202417,95,1,1.0526315789473684,180,0,1.4084507042253522,3,3,2,2,2,2,10
MB 7082,175,200,87.5,186.92307692307693,0,0,0,28,0,0,0,0,0,0,0,0,175,1,0.5714285714285714,105.20858235031396,105.20858235031396,0.03448275862069431,19835,202417,76,3,3.9473684210526314,168,0,0,3,3,2,2,2,2,10
MB 7092,401,250,160.4,453,31,27.373068432671083,0,51,0,0,0,0,0,0,0,0,401,11.76923076923077,2.9349702666410895,104.04919051934841,104.0586447903491,0.00945427100069196,19835,202417,399,15,3.7593984962406015,306,0,0,3,3,2,2,2,2,10
MB 7093,479,450,106.44444444444446,442.15384615384613,39,35.281837160751564,0,38,0,0,0,0,0,0,0,0,479,0.15384615384615385,0.03211819495744339,104.43966812904718,104.43966812904718,0,19835,202417,406,1,0.24630541871921183,228,0,0,3,3,2,2,2,2,10
MB 7094,465,450,103.33333333333334,479.0769230769231,49,40.912010276172126,27,42,0,0,0,0,0,0,0,0,465,4.538461538461538,0.9760132340777501,103.47980396193776,104.36619766581377,0.8863937038760099,19835,202417,388,11,2.8350515463917527,252,0,5.806451612903226,3,1,2,2,2,2,8
MBW Cimarron,318,399,79.69924812030075,344.61538461538464,10,11.607142857142856,0,31,1,1,0,0,0,0,0,1,318,2.923076923076923,0.9192065795839379,105.25840011943383,105.30725507086723,0.04706757516144464,19835,202417,206,8,3.8834951456310676,186,0.5376344086021506,0,3,3,2,2,2,2,10
MBW Cyclone,275,403,68.23821339950372,269.2307692307692,8,11.885714285714286,0,32,0,0,0,0,0,0,0,0,275,2.6923076923076925,0.9790209790209791,106.63623102416926,106.63679303097096,4.625127746055514e-4,19835,202417,199,1,0.5025125628140703,192,0,0,3,3,2,2,2,2,10
MBW Yuma,166,203,81.77339901477832,159.23076923076923,13,32.65700483091788,0,19,0,0,0,0,0,0,0,0,166,2.6153846153846154,1.5755329008341055,105.60480805572634,105.80029185014378,0.19548379441744146,19835,202417,86,3,3.488372093023256,114,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,235,200,117.5,240.07692307692307,2,3.3322652995834674,0,16,0,0,0,0,0,0,0,0,235,0.23076923076923078,0.09819967266775778,104.5070800510352,104.5070800510352,0,19835,202417,174,0,0,96,0,0,3,3,2,2,0,2,10
SPGNC,184,220,83.63636363636363,181.3846153846154,20,44.10517387616624,0,61,0,0,0,0,0,0,0,0,184,1.3846153846153846,0.7525083612040134,114.71914278945712,114.89559205536865,0.1764492659115291,19835,202417,111,0,0,366,0,0,3,3,2,2,0,2,10
SPGVA,260,292,89.04109589041096,255.84615384615384,0,0,5,77,0,0,0,0,0,0,0,0,260,2.923076923076923,1.1242603550295858,113.81079045366874,113.86311094781313,0.040723569239864456,19835,202417,126,3,2.380952380952381,462,0,1.9230769230769231,3,3,2,2,2,2,10
