Boar Stud,Inventory,Target,Inventory to target,Average Inventory,Total Non-Genetic Removals,% Non-Genetic Removals,14 Day Rest,Batches,Incomplete Batches,Missing Scores,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Total Boars in Stud,Treated Boars,Treatment Rate,actual,target,Missed Index,WeekCommencing,yrwk,Collections,Treatments,Lutalyse Usage,scores,% Missing Scores,% 14 Day Rest,TScore,RScore,PScore,LScorea,LScoreb,LScore,Total
MB 7092,460,250,184,507.15384615384613,29,22.872743819202185,0,52,0,0,0,0,0,0,0,0,460,8.846153846153847,1.9230769230769231,105.60601061086348,105.61259802684876,0.006587416,19709,202351,384,19,4.947916666666666,312,0,0,3,3,2,2,2,2,10
MB 7093,413,450,91.77777777777779,454.53846153846155,38,33.440514469453376,8,39,0,0,0,0,0,0,0,0,413,0.8461538461538461,0.20487986589681506,104.56951625313755,104.6547198695761,0.085203616,19709,202351,324,5,1.5432098765432098,234,0,1.937046004842615,3,3,2,2,2,2,10
MB 7094,470,450,104.44444444444446,473.15384615384613,34,28.743293773370187,2,41,0,0,0,0,0,0,0,0,470,3,0.6382978723404255,104.40712653520343,104.59315288697927,0.18602635177583693,19709,202351,375,4,1.0666666666666667,246,0,0.425531915,3,3,2,2,2,2,10
MBW Cimarron,326,399,81.70426065162907,314.3076923076923,6,7.635829662,1,22,0,0,0,0,0,0,0,0,326,2.6923076923076925,0.8258612553091081,102.90119266932102,103.03661626026529,0.1354235909442707,19709,202351,175,17,9.714285714285714,132,0,0.3067484662576687,3,3,2,1,1,1,9
MBW Cyclone,359,403,89.08188586,357.9230769230769,16,17.880937029873202,0,29,0,0,0,0,0,0,0,0,359,3.3846153846153846,0.9427898007285194,105.3048246433922,105.30580557480177,0.018203902,19709,202351,274,18,6.569343065693431,174,0,0,3,3,2,1,1,1,9
MBW Yuma,155,203,76.35467980295566,161.69230769230768,5,12.369172216936253,0,33,0,0,0,0,0,0,0,0,155,2.230769230769231,1.4392059553349876,104.71524038514418,104.71524038514418,0.054545454545456604,19709,202351,92,3,3.260869565217391,198,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,250,200,125,228.23076923076923,12,21.03134479271992,0,10,0,0,0,0,0,0,0,0,250,0.3076923076923077,0.12307692307692308,105.75230293785106,105.75230293785106,0,19709,202351,240,0,0,60,0,0,3,3,2,2,0,2,10
SPGNC,182,220,82.72727272727273,178.84615384615384,15,33.5483871,5,41,0,0,0,0,0,0,0,0,182,3.3076923076923075,1.8174133558748942,113.57051123393177,113.57051123393177,0,19709,202351,138,2,1.4492753623188406,246,0,2.7472527472527473,3,2,2,2,2,2,9
SPGVA,254,292,86.98630136986301,261.7692307692308,8,12.224507787246546,1,52,0,0,0,0,0,0,0,0,254,1.2307692307692308,0.48455481526347666,112.51776440692613,112.51776440692613,0,19709,202351,176,0,0,312,0,0.39370078740157477,3,3,2,2,0,2,10
MB 7081,217,200,108.5,217.3846153846154,7,12.880396319886767,1,29,0,0,0,0,0,0,0,0,217,1.6153846153846154,0.7444168734491315,107.49499755016187,107.49499755016187,0.019801980198012766,19716,202352,97,3,3.0927835051546393,174,0,0.4608294930875576,3,3,2,2,2,2,10
