Boar Stud,Boars Culled,Low Index Culls,WeekCommencing
Norson,1,0,6/14/2020
Princeton,5,3,6/14/2020
Skyline Boar Stud,1,0,6/14/2020
MB 7081,20,13,6/21/2020
MB 7093,44,20,6/21/2020
MBW Cyclone,3,0,6/21/2020
Norson,1,0,6/21/2020
Princeton,2,2,6/21/2020
SPGVA,29,21,6/21/2020
MBW Cimarron,2,0,6/28/2020
MBW Yuma,2,0,6/28/2020
Norson,1,0,6/28/2020
Princeton,5,4,6/28/2020
SPGTX,1,0,6/28/2020
High Desert,27,8,7/5/2020
MB 7082,21,12,7/5/2020
MB 7092,29,18,7/5/2020
MBW Cyclone,4,0,7/5/2020
Norson,1,0,7/5/2020
Princeton,2,2,7/5/2020
SPGNC,22,13,7/5/2020
SPGTX,1,1,7/5/2020
Clinton,42,12,7/12/2020
High Desert,11,8,7/12/2020
Norson,1,0,7/12/2020
Princeton,39,36,7/12/2020
MBW Cyclone,1,1,7/19/2020
MBW Yuma,2,0,7/19/2020
Norson,1,0,7/19/2020
Prestage MS,21,3,7/19/2020
Princeton,1,1,7/19/2020
SPGTX,1,1,7/19/2020
High Desert,1,0,7/26/2020
MB 7094,15,6,7/26/2020
MBW Cyclone,6,2,7/26/2020
MBW Yuma,1,0,7/26/2020
Norson,11,0,7/26/2020
Princeton,2,1,7/26/2020
SPGTX,1,0,7/26/2020
SPGVA,25,14,7/26/2020
MBW Cimarron,1,0,8/2/2020
MBW Yuma,9,9,8/2/2020
Norson,1,0,8/2/2020
Princeton,1,1,8/2/2020
SPGTX,1,1,8/2/2020
Ingold,18,5,8/9/2020
MB 7081,23,7,8/9/2020
MB 7093,37,31,8/9/2020
MBW Cimarron,2,0,8/9/2020
MBW Cyclone,3,0,8/9/2020
MBW Yuma,8,8,8/9/2020
Norson,1,0,8/9/2020
Princeton,3,3,8/9/2020
SPGNC,22,16,8/9/2020
MBW Cimarron,2,0,8/16/2020
MBW Cyclone,18,17,8/16/2020
MBW Yuma,1,0,8/16/2020
Norson,1,0,8/16/2020
Princeton,1,1,8/16/2020
SPGTX,2,2,8/16/2020
Clinton,40,12,8/23/2020
High Desert,11,4,8/23/2020
MBW Cyclone,4,1,8/23/2020
MBW Yuma,5,4,8/23/2020
Norson,1,0,8/23/2020
Princeton,3,2,8/23/2020
SPGTX,1,0,8/23/2020
MBW Cimarron,2,0,8/30/2020
MBW Cyclone,2,1,8/30/2020
MBW Yuma,24,24,8/30/2020
Norson,1,0,8/30/2020
Princeton,1,1,8/30/2020
SPGVA,28,20,8/30/2020
MBW Cyclone,2,0,9/6/2020
MBW Yuma,6,6,9/6/2020
Norson,1,0,9/6/2020
Princeton,2,2,9/6/2020
SPGTX,2,0,9/6/2020
High Desert,1,1,9/13/2020
MB 7082,19,19,9/13/2020
MB 7092,34,19,9/13/2020
MBW Cimarron,36,29,9/13/2020
MBW Cyclone,3,1,9/13/2020
MBW Yuma,2,3,9/13/2020
Norson,1,0,9/13/2020
Princeton,2,3,9/13/2020
SPGNC,20,14,9/13/2020
SPGTX,2,0,9/13/2020
High Desert,10,8,9/20/2020
MBW Cyclone,15,15,9/20/2020
MBW Yuma,4,4,9/20/2020
Norson,1,0,9/20/2020
Princeton,5,5,9/20/2020
GCM23-4,32,17,9/27/2020
MB 7081,25,25,9/27/2020
MBW Cimarron,2,0,9/27/2020
MBW Cyclone,1,0,9/27/2020
MBW Yuma,8,8,9/27/2020
Norson,1,0,9/27/2020
Princeton,47,47,9/27/2020
MBW Cimarron,2,0,10/4/2020
MBW Cyclone,1,0,10/4/2020
MBW Yuma,5,5,10/4/2020
Norson,1,0,10/4/2020
Prestage MS,20,6,10/4/2020
Princeton,3,3,10/4/2020
SPGTX,1,0,10/4/2020
SPGVA,28,23,10/4/2020
Ingold,19,3,10/11/2020
MB 7094,30,8,10/11/2020
MBW Cyclone,1,1,10/11/2020
MBW Yuma,5,5,10/11/2020
Norson,1,0,10/11/2020
SPGTX,3,2,10/11/2020
MB 7082,20,20,10/18/2020
MB 7092,31,20,10/18/2020
MBW Cyclone,2,1,10/18/2020
Norson,1,0,10/18/2020
Princeton,2,2,10/18/2020
SPGNC,27,16,10/18/2020
MB 7093,46,31,10/25/2020
MBW Cyclone,1,1,10/25/2020
MBW Yuma,6,6,10/25/2020
Norson,1,0,10/25/2020
Princeton,2,1,10/25/2020
MB 7081,20,20,11/1/2020
MBW Cimarron,1,0,11/1/2020
MBW Cyclone,16,15,11/1/2020
MBW Yuma,2,2,11/1/2020
Norson,30,0,11/1/2020
Princeton,5,5,11/1/2020
SPGTX,3,1,11/1/2020
Clinton,39,10,11/8/2020
MBW Cyclone,1,0,11/8/2020
Norson,1,0,11/8/2020
Princeton,2,2,11/8/2020
SPGTX,18,18,11/8/2020
SPGVA,30,23,11/8/2020
High Desert,1,0,11/15/2020
MBW Cyclone,2,0,11/15/2020
MBW Yuma,1,0,11/15/2020
Norson,1,0,11/15/2020
Princeton,3,3,11/15/2020
SPGTX,17,17,11/15/2020
High Desert,13,4,11/22/2020
MB 7082,39,19,11/22/2020
MBW Cyclone,3,0,11/22/2020
MBW Yuma,1,0,11/22/2020
Norson,2,0,11/22/2020
Princeton,1,0,11/22/2020
SPGNC,24,23,11/22/2020
SPGTX,1,1,11/22/2020
Ingold,23,6,11/29/2020
MB 7093,37,31,11/29/2020
Norson,1,0,11/29/2020
Princeton,2,2,11/29/2020
SPGTX,7,7,11/29/2020
High Desert,1,0,12/6/2020
MB 7081,20,13,12/6/2020
MBW Cyclone,2,1,12/6/2020
Norson,1,0,12/6/2020
Princeton,2,2,12/6/2020
SPGTX,5,5,12/6/2020
