Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,SPG120,113.81587372592875,117.23475641284116,3.4188826869124114,2021-01-25
High Desert,SPG240,100.8708149647044,104.05443841939169,3.183623454687293,2021-01-25
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-01-18
High Desert,SPG120,95.34276324284225,101.17581018377761,5.833046940935361,2021-01-18
High Desert,SPG240,100.69043590143987,100.69043590143987,0,2021-01-18
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-02-01
High Desert,SPG120,99.47431180586136,103.24735097036424,3.773039164502876,2021-02-01
High Desert,SPG240,129.01180710630513,129.01180710630513,0,2021-02-01
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-02-08
High Desert,SPG120,0,0,0,2021-02-08
High Desert,SPG240,0,0,0,2021-02-08
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-02-15
High Desert,SPG120,0,0,0,2021-02-15
High Desert,SPG240,100.76225355482809,100.76225355482809,0,2021-02-15
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-02-15
High Desert,SPG240,100.87849447773438,100.87849447773438,0,2021-02-15
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-03-01
High Desert,SPG240,0,0,0,2021-03-01
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-03-08
High Desert,SPG120,111.49765553500326,115.27117807106303,3.7735225360597724,2021-03-08
High Desert,SPG240,100.4687442073472,108.28717953450943,7.818435327162234,2021-03-08
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,SPG240,100.55822256867165,100.55822256867165,0,2021-03-08
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
