Boar Stud,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,rank,rankp
MB 7093,2055597,SPG240,WORKING,2022-08-22,NA,NA,89.1338658826243,189,0.07172675521821632
MB 7093,2056471,SPG240,WORKING,2022-09-26,NA,NA,85.58800789555549,81,0.030740037950664136
MB 7093,2056514,SPG240,WORKING,2022-09-26,NA,NA,88.986749512088,183,0.06944971537001897
MB 7093,2057775,SPG240,WORKING,2022-09-26,NA,NA,88.4306637569221,163,0.0618595825426945
MB 7093,2057830,SPG240,WORKING,2022-09-26,NA,NA,84.65153554663672,64,0.02428842504743833
MB 7093,2057931,SPG240,WORKING,2022-09-26,NA,NA,88.95918684552741,181,0.06869070208728653
MB 7093,2057962,SPG240,WORKING,2022-09-26,NA,NA,90.37386977301198,227,0.08614800759013283
MB 7093,2057996,SPG240,WORKING,2022-09-26,NA,NA,86.21653435474923,93,0.03529411764705882
MB 7093,2058936,SPG240,WORKING,2022-11-07,NA,NA,88.3100872879445,160,0.06072106261859583
MB 7093,2058938,SPG240,WORKING,2022-11-07,NA,NA,89.6165907238354,206,0.07817836812144212
MB 7093,2058968,SPG240,WORKING,2022-11-07,NA,NA,89.08589770634848,185,0.07020872865275142
MB 7093,2058986,SPG240,WORKING,2022-11-07,NA,NA,87.25673663175539,126,0.047817836812144215
MB 7093,2063682,SPG240,WORKING,2023-01-02,NA,NA,85.56795027570166,80,0.030360531309297913
MB 7093,2063993,SPG240,WORKING,2023-01-02,NA,NA,89.22307643309499,191,0.07248576850094876
MB 7093,2068351,SPG240,WORKING,2023-03-20,NA,NA,91.24879768543894,258,0.09791271347248577
MB 7093,2068362,SPG240,WORKING,2023-03-20,NA,NA,86.14635826050815,92,0.0349146110056926
MB 7093,2068370,SPG240,WORKING,2023-03-20,NA,NA,88.82609523853289,177,0.06717267552182163
MB 7093,2068502,SPG240,WORKING,2023-03-20,NA,NA,90.63409297703994,241,0.09146110056925996
MB 7093,2068967,SPG240,WORKING,2023-05-15,NA,NA,91.20243608729018,256,0.09715370018975332
MB 7093,2070552,SPG240,WORKING,2023-05-15,NA,NA,89.94834068096846,217,0.08235294117647059
MB 7093,2070603,SPG240,WORKING,2023-05-15,NA,NA,90.44816270414121,233,0.08842504743833017
MB 7093,2074643,SPG240,WORKING,2023-03-20,NA,NA,87.40970919875446,128,0.04857685009487666
MB 7093,2074740,SPG240,WORKING,2023-03-20,NA,NA,88.30237094676164,159,0.0603415559772296
MB 7093,2084896,SPG240,WORKING,2023-05-15,NA,NA,89.09928927162535,186,0.07058823529411765
MB 7093,2084993,SPG240,WORKING,2023-05-15,NA,NA,91.14761668945904,254,0.09639468690702087
MB 7093,2088421,SPG240,WORKING,2023-07-24,NA,NA,86.8502466480585,113,0.0428842504743833
