Boar Stud,Inventory,Target,Inventory to target,boars,dist,actual,WeekCommencing,target,Missed Index,yrwk,Average Days Rest,Standard Deviation,Total Boars Culled,% Boars Culled in Bottom 25%,Total Boars,Boars Trained Within 14 Days,Percent Trained,% Boars Distributed,Average Inventory,rate,IScore,TScore,DScore,BScore,Total,wk,qt,yr,Month
MBW Illinois,28,40,70,19,18,234.208771,2/9/1949,234.208771,0,201907,7.36,1.753092506,0,0,15,9,60,94.73684211,0,0,0,3,3,0,6,7,1,2019,February
MBW Yuma,193,210,91.9047619,164,120,124.099777,2/9/1949,124.3269554,0.227178441,201907,6.687150838,1.061270298,0,0,79,74,93.67088608,73.17073171,0,0,3,0,3,3,9,7,1,2019,February
Princeton,392,428,91.58878505,363,331,124.0688803,2/9/1949,124.4092621,0.340381815,201907,8.243626062,2.806773543,0,0,100,56,56,91.184573,0,0,3,0,2,0,5,7,1,2019,February
Skyline Boar Stud,392,365,107.3972603,335,183,123.6200653,2/9/1949,124.249649,0.62958375,201907,9.175115207,6.948003184,0,0,96,15,15.625,54.62686567,0,0,3,0,1,0,4,7,1,2019,February
SPGVA,274,292,93.83561644,105,60,126.0397058,2/9/1949,126.7176724,0.677966644,201907,7.355329949,2.660296615,0,0,122,51,41.80327869,57.14285714,0,0,3,0,3,0,6,7,1,2019,February
SPGNC,218,220,99.09090909,88,46,126.4513097,2/9/1949,126.7104678,0.259158173,201907,8.8,3.537792579,0,0,123,109,88.61788618,52.27272727,0,0,3,0,2,2,7,7,1,2019,February
High Desert,162,150,108,118,71,124.8319671,2/16/1949,124.8350875,0.003120385,201908,7.616666667,2.401621768,0,0,88,85,96.59090909,60.16949153,0,0,3,3,3,3,12,8,1,2019,February
MB 7081,220,220,100,128,117,124.0344908,2/16/1949,124.0675989,0.03310815,201908,8.56122449,3.945958859,0,0,123,110,89.43089431,91.40625,0,0,3,3,2,2,10,8,1,2019,February
MB 7082,198,220,90,111,83,124.2494887,2/16/1949,124.2779563,0.028467585,201908,7.759259259,2.286350412,0,0,102,79,77.45098039,74.77477477,0,0,3,3,3,1,10,8,1,2019,February
MB 7092,543,600,90.5,543,505,123.5879437,2/16/1949,123.7131956,0.125251853,201908,6.428030303,1.917296262,0,0,140,138,98.57142857,93.00184162,0,0,3,1,3,3,10,8,1,2019,February
MB 7093,498,500,99.6,498,482,123.5138323,2/16/1949,123.5879383,0.074105988,201908,5.623188406,1.048037377,0,0,90,88,97.77777778,96.78714859,0,0,3,2,2,3,10,8,1,2019,February
MBW Cimarron,223,200,111.5,179,124,123.9942398,2/16/1949,124.520099,0.525859174,201908,7.654761905,1.443499139,0,0,39,36,92.30769231,69.27374302,0,0,3,0,3,3,9,8,1,2019,February
MBW Cyclone,199,200,99.5,184,172,124.117167,2/16/1949,124.2461777,0.129010735,201908,6.883333333,1.053194131,0,0,99,76,76.76767677,93.47826087,0,0,3,1,3,1,8,8,1,2019,February
MBW Illinois,27,40,67.5,19,19,233.1665578,2/16/1949,233.1665578,0,201908,7.384615385,1.898987585,0,0,15,9,60,100,0,0,0,3,3,0,6,8,1,2019,February
MBW Yuma,192,210,91.42857143,163,131,124.1712804,2/16/1949,124.1730845,0.001804096,201908,7.767195767,0.955823733,0,0,79,74,93.67088608,80.36809816,0,0,3,3,3,3,12,8,1,2019,February
Princeton,457,428,106.7757009,422,328,124.1008606,2/16/1949,124.6266262,0.525765652,201908,7.671597633,2.177949473,0,0,167,56,33.53293413,77.72511848,0,0,3,0,3,0,6,8,1,2019,February
Skyline Boar Stud,391,365,107.1232877,334,196,123.5494451,2/16/1949,124.1179271,0.568482006,201908,9.728033473,6.449324822,0,0,96,15,15.625,58.68263473,0,0,3,0,1,0,4,8,1,2019,February
SPGVA,278,292,95.20547945,98,80,126.0295971,2/16/1949,126.3093648,0.279767767,201908,7.441747573,3.42928633,0,0,122,51,41.80327869,81.63265306,0,0,3,0,3,0,6,8,1,2019,February
