Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index,Target,SelDate,UnSelDate
MB 7092,6230F,SPG240,WORKING,20001337599,2021-03-12,YES,US,YES,111.22849564574307,NA,NA,NA
SPGNC,6246F,SPG240,WORKING,20001149186,2021-03-14,YES,US,YES,110.4158218431635,West Trial,2021-01-25,NA
MB 7092,625K1,SPG240,WORKING,20001337454,2021-03-10,YES,US,YES,107.60227378453128,NA,NA,NA
SPGNC,6314E,SPG240,WORKING,20001149191,2021-03-14,YES,US,YES,108.17954370662798,NA,NA,NA
SPGNC,6327D,SPG120,WORKING,20001149071,2021-03-10,YES,US,NO,108.52613309663407,NA,NA,NA
MB 7092,6335E,SPG240,WORKING,20001337544,2021-03-11,YES,TR,NO,74.88748364831154,NA,NA,NA
SPGNC,6350G,SPG240,WORKING,20001149114,2021-03-11,YES,US,YES,118.60200242642868,NA,NA,NA
MB 7092,635J6,SPG240,WORKING,20001337616,2021-03-14,YES,US,YES,107.40282213953579,NA,NA,NA
SPGVA,6366G,SPG240,WORKING,20001175129,2021-03-08,YES,US,NO,74.94944540898798,CTH,2021-02-01,NA
MB 7092,6369E,SPG240,WORKING,20001337357,2021-03-08,YES,US,YES,96.4311330744682,NA,NA,NA
SPGVA,6400G,SPG240,WORKING,20001175216,2021-03-09,YES,US,NO,98.53039785948589,NA,NA,NA
MB 7092,6444F,SPG240,WORKING,20001337365,2021-03-08,YES,TR,NO,95.14230599683104,NA,NA,NA
MB 7092,6454G,SPG240,NONWORKING,20001337369,2021-03-08,YES,TR,NO,95.06312237250755,NA,NA,NA
MB 7092,6469F,SPG240,WORKING,20001337649,2021-03-14,YES,US,YES,99.83414845298265,NA,NA,NA
SPGVA,6547F,SPG240,WORKING,20001175135,2021-03-08,YES,US,NO,101.36918874869146,NA,NA,NA
SPGVA,6547F,SPG240,WORKING,20001175306,2021-03-14,YES,US,YES,101.36918874869146,NA,NA,NA
SPGVA,6650F,SPG240,WORKING,20001175249,2021-03-11,YES,US,YES,107.94709088078181,NA,NA,NA
SPGNC,6655G,SPG240,WORKING,20001149183,2021-03-14,YES,US,YES,111.03622325836137,West Trial,2021-01-25,NA
SPGNC,666J4,SPG120,WORKING,20001149003,2021-03-08,YES,US,NO,102.49397156099579,NA,NA,NA
MB 7092,6695E,SPG240,WORKING,20001337600,2021-03-12,YES,US,YES,108.0393783058084,NA,NA,NA
MB 7092,673J6,SPG240,WORKING,20001337432,2021-03-10,YES,TR,NO,94.62432093496533,NA,NA,NA
SPGVA,6775G,SPG240,WORKING,20001175235,2021-03-11,YES,TR,NO,121.66263530486717,Nuc/CTH,2021-01-25,NA
MB 7092,677H9,SPG240,WORKING,20001337545,2021-03-11,YES,US,YES,100.2853585370901,NA,NA,NA
MB 7092,6796E,SPG240,WORKING,20001337658,2021-03-14,YES,US,YES,99.33555625224436,NA,NA,NA
MB 7092,6810E,SPG240,WORKING,20001337435,2021-03-10,YES,TR,NO,96.94727832054755,NA,NA,NA
MB 7092,6835E,SPG240,WORKING,20001337671,2021-03-14,YES,US,YES,98.11998727408574,NA,NA,NA
SPGNC,6857F,SPG240,WORKING,20001149031,2021-03-09,YES,US,YES,108.982335455218,NA,NA,NA
SPGNC,6875F,SPG240,WORKING,20001148986,2021-03-08,YES,US,NO,100.74207184955252,NA,NA,NA
SPGVA,6878E,SPG240,WORKING,20001175294,2021-03-14,YES,US,YES,104.7229181948031,NA,NA,NA
MB 7092,689J6,SPG240,WORKING,20001337524,2021-03-11,YES,US,YES,104.54887844670019,NA,NA,NA
MB 7092,6928E,SPG240,WORKING,20001337507,2021-03-11,YES,US,YES,107.62879546515114,NA,NA,NA
SPGNC,6933F,SPG240,WORKING,20001149076,2021-03-10,YES,US,NO,97.44585473270631,NA,NA,NA
SPGVA,6984F,SPG240,WORKING,20001175299,2021-03-14,YES,US,YES,103.84402991802288,NA,NA,NA
MB 7092,6986E,SPG240,WORKING,20001337410,2021-03-09,YES,US,YES,98.43561665997724,NA,NA,NA
SPGNC,7002C,SPG240,WORKING,20001149079,2021-03-10,YES,US,NO,96.22643366420252,NA,NA,NA
MB 7092,7007C,SPG240,WORKING,20001337515,2021-03-11,YES,US,YES,108.29030763049455,NA,NA,NA
SPGNC,7073G,SPG240,WORKING,20001149189,2021-03-14,YES,US,YES,109.48208886904047,West Trial,2021-01-25,NA
MB 7092,7076C,SPG240,WORKING,20001337404,2021-03-09,YES,US,YES,107.75757558631008,NA,NA,NA
SPGVA,7089F,SPG110,WORKING,20001175182,2021-03-09,YES,US,NO,110.38751473342693,NA,NA,NA
SPGNC,7131C,SPG240,WORKING,20001149078,2021-03-10,YES,US,NO,98.44248885884987,NA,NA,NA
MB 7092,7153C,SPG240,WORKING,20001337663,2021-03-14,YES,US,YES,101.35928628669176,NA,NA,NA
MB 7092,7155C,SPG240,WORKING,20001337366,2021-03-08,YES,TR,NO,94.9782427309687,NA,NA,NA
MB 7092,7157C,SPG240,WORKING,20001337546,2021-03-11,YES,US,YES,96.35142130334843,NA,NA,NA
SPGNC,7163D,SPG110,WORKING,20001149056,2021-03-10,YES,US,NO,106.48050316544867,NA,NA,NA
MB 7092,7195G,SPG240,WORKING,20001337455,2021-03-10,YES,US,YES,106.4080184868214,NA,NA,NA
SPGNC,719G9,SPG120,WORKING,20001149069,2021-03-10,YES,US,NO,97.88005752956182,NA,NA,NA
SPGNC,7313H,SPG110,WORKING,20001149057,2021-03-10,YES,US,NO,108.71696154021497,NA,NA,NA
SPGNC,7324C,SPG240,WORKING,20001149117,2021-03-11,YES,US,YES,111.35931068389851,NA,NA,NA
MB 7092,7351G,SPG240,WORKING,20001337631,2021-03-14,YES,US,YES,103.83375152894445,NA,NA,NA
MB 7092,740H5,SPG240,WORKING,20001337602,2021-03-12,YES,US,YES,104.96515208850732,NA,NA,NA
SPGNC,7527G,SPG110,WORKING,20001149062,2021-03-10,YES,US,NO,114.22736316094004,NA,NA,NA
SPGVA,7562H,SPG110,WORKING,20001175205,2021-03-09,YES,US,NO,116.09751335105989,NA,NA,NA
SPGNC,7611C,SPG240,WORKING,20001149195,2021-03-14,YES,US,YES,107.85021235885652,NA,NA,NA
MB 7092,761G7,SPG240,WORKING,20001337350,2021-03-08,YES,US,YES,144.28653648166238,NA,NA,NA
SPGVA,7638G,SPG240,WORKING,20001175161,2021-03-09,YES,US,YES,109.6125342002561,NA,NA,NA
SPGNC,7644A,SPG120,WORKING,20001149074,2021-03-10,YES,US,NO,107.46046649421888,NA,NA,NA
SPGVA,7653H,SPG120,WORKING,20001175144,2021-03-09,YES,US,YES,120.47239370293623,CTH,2021-02-22,NA
SPGNC,7657F,SPG110,WORKING,20001149047,2021-03-09,YES,US,NO,114.93476194728659,NA,NA,NA
MB 7092,770E0,SPG240,WORKING,20001337513,2021-03-11,YES,US,YES,106.48564574052631,NA,NA,NA
MB 7092,7741G,SPG240,WORKING,20001337643,2021-03-14,YES,US,YES,102.84398451885725,NA,NA,NA
SPGNC,7755G,SPG110,WORKING,20001149064,2021-03-10,YES,US,NO,108.86162300924575,NA,NA,NA
MB 7092,775K1,SPG240,WORKING,20001337654,2021-03-14,YES,US,YES,98.87707029839588,NA,NA,NA
SPGVA,7760G,SPG110,WORKING,20001175198,2021-03-09,YES,US,NO,113.91837467861143,NA,NA,NA
