StudName,yearweek,Minimum Concentration,Average Concentration,Minimum Morphology,Samples,Positive Samples,Bacteria %,Conc_Diff,CScore,MScore,AScore,BScore,Total,Boar Stud
7362,202244,39.82647679,45.85774536428571,35.1,7,0,0,1.8577453642857122,3,0,2,1,6,SPG Farm 62
7362,202245,41.23377279,54.68411092636364,49.9,11,0,0,10.684110926363637,4,0,0,1,5,SPG Farm 62
7362,202246,39.73265706,47.22650826,58.9,12,0,0,3.226508260000003,3,0,1,1,5,SPG Farm 62
7362,202247,38.04390186,44.69337546,71.5,8,0,0,0.6933754599999986,2,3,2,1,8,SPG Farm 62
7362,202248,40.29557546,45.27388506,83.4,8,0,0,1.2738850599999978,4,3,2,1,10,SPG Farm 62
7362,202249,35.886048,45.4791157275,74,8,0,0,1.4791157275000018,0,3,2,1,6,SPG Farm 62
7362,202250,35.20737034,40.608131988888886,68.4,9,0,0,3.3918680111111144,0,2,1,1,4,SPG Farm 62
7362,202251,29.46150354,41.541435552857145,66.6,7,0,0,2.458564447142855,0,2,2,1,5,SPG Farm 62
7362,202252,40.48110765,43.310817085714284,74.7,7,0,0,0.6891829142857162,4,3,2,1,10,SPG Farm 62
7362,202301,34.80268792,41.40250858555555,60.5,9,0,0,2.5974914144444483,0,1,2,1,4,SPG Farm 62
7362,202302,39.29915923,45.429348445555554,48.1,9,0,0,1.4293484455555543,3,0,2,1,6,SPG Farm 62
7362,202303,33.0040994,43.121159841,71.5,10,0,0,0.8788401589999992,0,3,2,1,6,SPG Farm 62
7362,202304,34.17318194,41.210159534,72.9,10,0,0,2.789840466000001,0,3,2,1,6,SPG Farm 62
7362,202305,21.40320342,36.28090286375,78.3,8,0,0,7.719097136249999,0,3,0,1,4,SPG Farm 62
7362,202306,36.46638231,42.446689145,72.9,12,2,16.666666666666664,1.5533108549999994,0,3,2,0,5,SPG Farm 62
7362,202307,30.75586374,41.21015953333333,66.5,6,0,0,2.789840466666668,0,2,2,1,5,SPG Farm 62
7362,202308,37.77035898,43.09546572,78.7,7,0,0,0.90453428,1,3,2,1,7,SPG Farm 62
7362,202309,33.67857009,42.00988907428572,71.3,7,0,0,1.9901109257142835,0,3,2,1,6,SPG Farm 62
7362,202310,35.02751149,42.626547996363634,76.6,11,0,0,1.3734520036363662,0,3,2,1,6,SPG Farm 62
7362,202311,39.83873579,42.62654799857143,71.4,7,0,0,1.3734520014285678,3,3,2,1,9,SPG Farm 62
7362,202312,39.92866521,44.189071775,53.7,4,0,0,0.18907177500000216,3,0,2,1,6,SPG Farm 62
7362,202313,39.16426509,41.56238312333333,76.8,6,0,0,2.4376168766666666,3,3,2,1,9,SPG Farm 62
7362,202314,41.14271247,43.623265805,75,6,0,0,0.3767341949999974,4,3,2,1,10,SPG Farm 62
7362,202315,37.45560599,43.28817163142857,88.8,7,0,0,0.7118283685714317,1,3,2,1,7,SPG Farm 62
7362,202316,49.05650197,68.037231465,85.33,4,0,0,24.037231465000005,4,3,0,1,8,SPG Farm 62
7362,202317,20.36901502,53.23822028285714,58.36,7,0,0,9.238220282857142,0,0,0,1,1,SPG Farm 62
