Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,Boar Stud.y,Collnum,Col_Date,Tech,Ext_Name,Tot_Ext_Vol,Used_Doses,Dose_Actual,Collection Status,Sperm_Conc,Tot_Sperm,Sem_Vol_Used,TRCODE,Motility,Ext_Batch_Num,EBV,Boar Stud
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001170808,2024-02-07,AE,5D 2B PCAI PX,1682,45.4,45.43,US,0.251,90.86,362,NA,85,607_17_747,115.45,MB 7081
MB 7081,2106547,SPG240,CULLED,2024-02-05,2024-04-16,40,106.21140895330778,MB 7081,20001170814,2024-02-07,EH,5D 2B PCAI PX,1065,27.7,27.8,US,0.299,55.61,186,NA,85,607_17_747,108.37,MB 7081
MB 7081,2106547,SPG240,CULLED,2024-02-05,2024-04-16,40,106.21140895330778,MB 7081,20001171397,2024-02-28,AE,5D 2B PCAI PX,681,20.5,20.58,US,0.168,41.16,245,NA,85,607_17_747,107.02,MB 7081
MB 7081,2106547,SPG240,CULLED,2024-02-05,2024-04-16,40,106.21140895330778,MB 7081,20001171078,2024-02-16,AE,5D 2B PCAI PX,1199,36.4,36.47,US,0.165,72.93,442,NA,85,607_17_747,108.13,MB 7081
MB 7081,2106547,SPG240,CULLED,2024-02-05,2024-04-16,40,106.21140895330778,MB 7081,20001171227,2024-02-23,AE,5D 2B PCAI PX,3534,92.1,92.24,US,0.299,184.479,617,NA,85,607_17_747,107.38,MB 7081
MB 7081,2106547,SPG240,CULLED,2024-02-05,2024-04-16,40,106.21140895330778,MB 7081,20001172152,2024-03-27,AE,5D 2B PCAI PX,934,28.6,28.66,US,0.161,57.31,356,NA,85,607_17_747,106.93,MB 7081
MB 7081,2106547,SPG240,CULLED,2024-02-05,2024-04-16,40,106.21140895330778,MB 7081,20001172010,2024-03-22,AC,5D 2B PCAI PX,905,28.8,29,US,0.145,57.99,400,NA,85,607_17_747,106.989,MB 7081
MB 7081,2106547,SPG240,CULLED,2024-02-05,2024-04-16,40,106.21140895330778,MB 7081,20001171577,2024-03-06,AE,5D 2B PCAI PX,1237,38.2,38.24,US,0.158,76.47,484,NA,85,607_17_747,106.55,MB 7081
MB 7081,2106547,SPG240,CULLED,2024-02-05,2024-04-16,40,106.21140895330778,MB 7081,20001171776,2024-03-13,WP,5D 2B PCAI PX,490,19.6,19.6,US,0.1,39.2,392,NA,85,607_17_747,106.5,MB 7081
MB 7081,2106547,SPG240,CULLED,2024-02-05,2024-04-16,40,106.21140895330778,MB 7081,20001172567,2024-04-12,AE,5D 2B PCAI PX,1522,44.4,44.45,US,0.186,88.9,478,NA,85,607_17_747,106.709,MB 7081
MB 7081,2106547,SPG240,CULLED,2024-02-05,2024-04-16,40,106.21140895330778,MB 7081,20001172324,2024-04-03,AE,5D 2B PCAI PX,739,24.3,24.41,US,0.136,48.82,359,NA,85,607_17_747,106.739,MB 7081
MB 7081,2106554,SPG240,WORKING,2024-02-05,NA,NA,101.32304403502903,MB 7081,20001172443,2024-04-05,PM,5D 2B PCAI PX,700,20,20,US,0.2,40,200,NA,85,607_17_747,101.52,MB 7081
MB 7081,2106554,SPG240,WORKING,2024-02-05,NA,NA,101.32304403502903,MB 7081,20001172733,2024-04-18,WP,5D 2B PCAI PX,NA,0,0,TR,0,0,0,22,0,607_17_747,101.12,MB 7081
MB 7081,2106554,SPG240,WORKING,2024-02-05,NA,NA,101.32304403502903,MB 7081,20001171689,2024-03-08,PM,5D 2B PCAI PX,700,20,20,US,0.2,40,200,NA,85,607_17_747,102,MB 7081
MB 7081,2106554,SPG240,WORKING,2024-02-05,NA,NA,101.32304403502903,MB 7081,20001172059,2024-03-22,WP,5D 2B PCAI PX,801,22.6,22.66,US,0.207,45.33,219,NA,85,607_17_747,101.2,MB 7081
MB 7081,2106554,SPG240,WORKING,2024-02-05,NA,NA,101.32304403502903,MB 7081,20001170975,2024-02-12,AE,5D 2B PCAI PX,1328,40,40.05,US,0.169,80.1,474,NA,85,607_17_747,102.25,MB 7081
MB 7081,2106554,SPG240,WORKING,2024-02-05,NA,NA,101.32304403502903,MB 7081,20001171321,2024-02-25,AC,5D 2B PCAI PX,NA,0,0,TR,0,0,0,22,0,607_17_747,102.04,MB 7081
MB 7081,2106565,SPG240,CULLED,2024-02-05,2024-04-16,40,114.6929852522531,MB 7081,20001171335,2024-02-26,WP,5D 2B PCAI PX,742,24.1,24.15,US,0.14,48.3,345,NA,85,607_17_747,115.14,MB 7081
MB 7081,2106565,SPG240,CULLED,2024-02-05,2024-04-16,40,114.6929852522531,MB 7081,20001171544,2024-03-04,PM,5D 2B PCAI PX,NA,0,0,TR,0.1,10,100,27,75,607_17_747,115.14,MB 7081
MB 7081,2106565,SPG240,CULLED,2024-02-05,2024-04-16,40,114.6929852522531,MB 7081,20001170985,2024-02-12,WP,5D 2B PCAI PX,250,0,0,TR,0.1,20,200,27,65,607_17_747,115.19,MB 7081
MB 7081,2106565,SPG240,CULLED,2024-02-05,2024-04-16,40,114.6929852522531,MB 7081,20001171140,2024-02-19,AC,5D 2B PCAI PX,854,25,25.02,US,0.184,50.04,272,NA,85,607_17_747,115.099,MB 7081
MB 7081,2106565,SPG240,CULLED,2024-02-05,2024-04-16,40,114.6929852522531,MB 7081,20001170807,2024-02-07,AE,5D 2B PCAI PX,1367,41,41.14,US,0.17,82.28,484,NA,85,607_17_747,115.52,MB 7081
MB 7081,2106565,SPG240,CULLED,2024-02-05,2024-04-16,40,114.6929852522531,MB 7081,20001172122,2024-03-25,AC,5D 2B PCAI PX,1286,36.4,36.48,US,0.205,72.97,356,NA,85,607_17_747,115.59,MB 7081
MB 7081,2106565,SPG240,CULLED,2024-02-05,2024-04-16,40,114.6929852522531,MB 7081,20001171907,2024-03-18,AE,5D 2B PCAI PX,968,32,32.06,US,0.135,64.12,475,NA,85,607_17_747,115.23,MB 7081
MB 7081,2106565,SPG240,CULLED,2024-02-05,2024-04-16,40,114.6929852522531,MB 7081,20001171825,2024-03-15,AE,5D 2B PCAI PX,768,26.5,26.5,US,0.125,53,424,NA,85,607_17_747,114.9,MB 7081
MB 7081,2106565,SPG240,CULLED,2024-02-05,2024-04-16,40,114.6929852522531,MB 7081,20001172307,2024-04-01,PM,5D 2B PCAI PX,NA,0,0,TR,0.1,10,100,27,75,607_17_747,115.53,MB 7081
MB 7081,2106565,SPG240,CULLED,2024-02-05,2024-04-16,40,114.6929852522531,MB 7081,20001172561,2024-04-12,AE,5D 2B PCAI PX,2484,67.3,67.31,US,0.247,134.61,545,NA,85,607_17_747,115.11,MB 7081
MB 7081,2106591,SPG240,WORKING,2024-02-05,NA,NA,102.79198249452216,MB 7081,20001172587,2024-04-12,WP,5D 2B PCAI PX,2337,66.4,66.4,US,0.204,132.8,651,NA,85,607_17_747,103.63,MB 7081
MB 7081,2106591,SPG240,WORKING,2024-02-05,NA,NA,102.79198249452216,MB 7081,20001172393,2024-04-05,WP,5D 2B PCAI PX,2424,63.4,63.42,US,0.295,126.849,430,NA,85,607_17_747,104.16,MB 7081
MB 7081,2106591,SPG240,WORKING,2024-02-05,NA,NA,102.79198249452216,MB 7081,20001172774,2024-04-19,AE,5D 2B PCAI PX,NA,0,0,TR,0.2,40,200,27,85,607_17_747,103.04,MB 7081
MB 7081,2106591,SPG240,WORKING,2024-02-05,NA,NA,102.79198249452216,MB 7081,20001172208,2024-03-29,AC,5D 2B PCAI PX,2785,73.5,73.67,US,0.278,147.34,530,NA,85,607_17_747,104.02,MB 7081
MB 7081,2106591,SPG240,WORKING,2024-02-05,NA,NA,102.79198249452216,MB 7081,20001172981,2024-04-26,AE,5D 2B PCAI PX,2011,55.5,55.68,US,0.225,111.37,495,NA,85,607_17_747,102.79,MB 7081
MB 7081,2106591,SPG240,WORKING,2024-02-05,NA,NA,102.79198249452216,MB 7081,20001171690,2024-03-08,PM,5D 2B PCAI PX,700,20,20,US,0.2,40,200,NA,85,607_17_747,101.97,MB 7081
MB 7081,2106591,SPG240,WORKING,2024-02-05,NA,NA,102.79198249452216,MB 7081,20001172027,2024-03-22,AE,5D 2B PCAI PX,962,31.6,31.64,US,0.137,63.29,462,NA,85,607_17_747,104.22,MB 7081
MB 7081,2106591,SPG240,WORKING,2024-02-05,NA,NA,102.79198249452216,MB 7081,20001170963,2024-02-12,AC,5D 2B PCAI PX,1396,41.7,41.9,US,0.171,83.79,490,NA,85,607_17_747,102.72,MB 7081
MB 7081,2106591,SPG240,WORKING,2024-02-05,NA,NA,102.79198249452216,MB 7081,20001171318,2024-02-25,AE,5D 2B PCAI PX,1881,53,53.08,US,0.209,106.17,508,NA,85,607_17_747,102.19,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001171395,2024-02-28,WP,5D 2B PCAI PX,660,23.8,23.92,US,0.115,47.84,416,NA,85,607_17_747,108.12,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001171574,2024-03-06,AE,5D 2B PCAI PX,1451,47.7,47.74,US,0.137,95.48,697,NA,85,607_17_747,107.67,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001171200,2024-02-21,WP,5D 2B PCAI PX,742,22.3,22.42,US,0.168,44.85,267,NA,85,607_17_747,108,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001170976,2024-02-12,WP,5D 2B PCAI PX,783,27.2,27.38,US,0.122,54.77,449,NA,85,607_17_747,108.33,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001170891,2024-02-09,NA,NA,NA,0,0,NC,0,0,0,NA,0,607_17_747,108.22,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001172151,2024-03-27,AE,5D 2B PCAI PX,1094,34.2,34.35,US,0.152,68.7,452,NA,85,607_17_747,106.94,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001172008,2024-03-22,AC,5D 2B PCAI PX,2836,75.3,75.34,US,0.272,150.68,554,NA,85,607_17_747,107.01,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001171774,2024-03-13,WP,5D 2B PCAI PX,720,25.6,25.66,US,0.118,51.33,435,NA,95,607_17_747,107.43,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001172886,2024-04-24,AE,5D 2B PCAI PX,885,26,26.06,US,0.181,52.12,288,NA,85,607_17_747,106.16,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001172696,2024-04-17,WP,5D 2B PCAI PX,1188,33.7,33.72,US,0.205,67.44,329,NA,85,607_17_747,106.11,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001172383,2024-04-05,AC,5D 2B PCAI PX,2680,71.6,71.78,US,0.261,143.55,550,NA,85,607_17_747,106.87,MB 7081
MB 7081,2106604,SPG240,WORKING,2024-02-05,NA,NA,106.161652958052,MB 7081,20001172508,2024-04-10,AC,5D 2B PCAI PX,1798,49,49.18,US,0.237,98.35,415,NA,85,607_17_747,107.239,MB 7081
MB 7081,2106616,SPG240,CULLED,2024-02-05,2024-03-12,40,109.04304302236616,MB 7081,20001171714,2024-03-11,AC,5D 2B PCAI PX,632,20.6,20.64,US,0.139,41.28,297,NA,85,607_17_747,110.239,MB 7081
MB 7081,2106616,SPG240,CULLED,2024-02-05,2024-03-12,40,109.04304302236616,MB 7081,20001171624,2024-03-08,WP,5D 2B PCAI PX,1035,32.2,32.34,US,0.154,64.67,420,NA,85,607_17_747,110.51,MB 7081
MB 7081,2106616,SPG240,CULLED,2024-02-05,2024-03-12,40,109.04304302236616,MB 7081,20001170809,2024-02-07,AE,5D 2B PCAI PX,1145,32.5,32.66,US,0.201,65.32,325,NA,85,607_17_747,110.94,MB 7081
