Boar Stud,BoarID.x,Breed.x.x,Boar Status.x,Col_Date.x,Collected.x,Collection Status.x,Distributed.x,Index.x,Target.x,Included.x,Needed,Actual
SPGVA,9613F,SPG240,WORKING,2021-03-09,YES,US,NO,95.92368584520764,NA,YES,43,NA
SPGVA,1423H,SPG240,WORKING,2021-03-11,YES,TR,NO,95.8760160464319,Nuc/CTH,YES,43,0
SPGNC,5031B,SPG240,WORKING,2021-03-10,YES,US,NO,95.50900437550108,NA,YES,44,NA
MB 7092,6444F,SPG240,WORKING,2021-03-08,YES,TR,NO,95.14230599683104,NA,YES,184,1
SPGNC,2263H,SPG240,WORKING,2021-03-14,YES,US,YES,95.08407069940246,CTH,YES,44,1
MB 7092,5670E,SPG240,WORKING,2021-03-11,YES,US,YES,95.07917780155465,NA,YES,184,1
MB 7092,6454G,SPG240,NONWORKING,2021-03-08,YES,TR,NO,95.06312237250755,NA,NO,184,NA
SPGVA,2370G,SPG240,WORKING,2021-03-09,YES,US,NO,95.05015005541009,CTH,YES,43,NA
SPGNC,1767G,SPG240,WORKING,2021-03-08,YES,US,NO,95.00741637658001,NA,YES,44,NA
MB 7092,4251B,SPG240,WORKING,2021-03-08,YES,US,NO,94.98497291255427,NA,YES,184,NA
MB 7092,7155C,SPG240,WORKING,2021-03-08,YES,TR,NO,94.9782427309687,NA,YES,184,1
MB 7092,8339C,SPG240,WORKING,2021-03-10,YES,US,YES,94.84181797005488,NA,YES,184,1
MB 7092,5453B,SPG240,WORKING,2021-03-12,YES,TR,NO,94.78226986596268,NA,YES,184,1
MB 7092,673J6,SPG240,WORKING,2021-03-10,YES,TR,NO,94.62432093496533,NA,YES,184,1
MB 7092,5424B,SPG240,WORKING,2021-03-11,YES,TR,NO,94.5578749803164,NA,YES,184,1
SPGNC,1G102,SPG240,WORKING,2021-03-10,YES,US,NO,93.97016922072137,NA,YES,44,NA
MB 7092,8664A,SPG240,NONWORKING,2021-03-08,YES,TR,NO,93.77541647440415,NA,NO,184,NA
MB 7092,842H5,SPG240,WORKING,2021-03-14,YES,US,NO,93.29417959650227,NA,YES,184,NA
SPGVA,6028C,SPG240,WORKING,2021-03-09,YES,US,NO,93.21407450602621,NA,YES,43,NA
MB 7092,8875A,SPG240,WORKING,2021-03-11,YES,US,YES,93.02704394893253,NA,YES,184,1
SPGVA,2124H,SPG240,WORKING,2021-03-09,YES,US,NO,92.71848762160674,CTH,YES,43,NA
MB 7092,338D2,SPG240,WORKING,2021-03-09,YES,TR,NO,92.63489835046647,NA,YES,184,0
MB 7092,566H5,SPG240,WORKING,2021-03-08,YES,TR,NO,92.29531676518717,NA,YES,184,0
SPGVA,5691G,SPG240,WORKING,2021-03-08,YES,US,NO,91.76099323874253,CTH,YES,43,NA
MB 7092,2607F,SPG240,WORKING,2021-03-09,YES,US,NO,91.72988858957892,NA,YES,184,NA
MB 7092,355D8,SPG240,WORKING,2021-03-14,YES,US,NO,91.59144484364981,NA,YES,184,NA
SPGVA,5800G,SPG240,WORKING,2021-03-09,YES,US,NO,91.16699729525145,CTH,YES,43,NA
MB 7092,1294C,SPG240,WORKING,NA,NO,NA,NO,91.08812994100234,NA,YES,184,NA
MB 7092,2494C,SPG240,WORKING,2021-03-12,YES,TR,NO,91.0754086431805,NA,YES,184,0
MB 7092,1414H,SPG240,WORKING,2021-03-10,YES,TR,NO,91.03755075299757,NA,YES,184,0
MB 7092,4011B,SPG240,WORKING,2021-03-09,YES,US,NO,90.78609407411467,NA,YES,184,NA
MB 7092,552G7,SPG240,WORKING,2021-03-14,YES,US,NO,90.46907185095611,NA,YES,184,NA
MB 7092,8441G,SPG240,NONWORKING,2021-03-11,YES,TR,NO,89.97501105386054,NA,NO,184,NA
MB 7092,1628G,SPG240,NONWORKING,2021-03-08,YES,TR,NO,89.09689522691549,NA,NO,184,NA
SPGVA,1262H,SPG240,WORKING,2021-03-09,YES,US,NO,88.7224166089563,CTH,YES,43,NA
MB 7092,488E5,SPG240,WORKING,2021-03-09,YES,TR,NO,87.29498136066938,NA,YES,184,0
MB 7092,1148H,SPG240,NONWORKING,2021-03-11,YES,TR,NO,87.22566079459015,NA,NO,184,NA
SPGVA,5798F,SPG240,WORKING,2021-03-09,YES,US,NO,83.52184787243004,CTH,YES,43,NA
SPGVA,6366G,SPG240,WORKING,2021-03-08,YES,US,NO,74.94944540898798,CTH,YES,43,NA
MB 7092,6335E,SPG240,WORKING,2021-03-11,YES,TR,NO,74.88748364831154,NA,YES,184,0
