Boar Stud,BoarID.x,Breed.x.x,Boar Status.x,Col_Date.x,Collected.x,Collection Status.x,Distributed.x,Index.x,Included.x,Needed,Actual
SPGVA,58499,PICL02,WORKING,2024-04-24,YES,US,YES,148,YES,63,1
MB 7081,64462,PICL02,WORKING,2024-04-22,YES,TR,NO,148,YES,45,1
SPGVA,58335,PICL02,WORKING,2024-04-22,YES,US,YES,147,YES,63,1
SPGVA,58349,PICL02,WORKING,2024-04-22,YES,US,YES,147,YES,63,1
SPGVA,58490,PICL02,WORKING,2024-04-22,YES,US,YES,147,YES,63,1
MB 7081,64397,PICL02,WORKING,2024-04-22,YES,US,YES,147,YES,45,1
MB 7082,70454,PICL02,WORKING,2024-04-22,YES,US,YES,147,YES,39,1
SPGVA,58477,PICL02,WORKING,2024-04-22,YES,US,YES,146,YES,63,1
SPGVA,58504,PICL02,WORKING,2024-04-22,YES,US,YES,146,YES,63,1
MB 7081,64377,PICL02,WORKING,2024-04-22,YES,US,YES,146,YES,45,1
MB 7081,64463,PICL02,WORKING,2024-04-26,YES,US,YES,146,YES,45,1
MB 7081,64378,PICL02,WORKING,2024-04-22,YES,US,YES,145,YES,45,1
MB 7082,70472,PICL02,WORKING,2024-04-22,YES,US,YES,145,YES,39,1
SPGVA,58525,PICL02,WORKING,2024-04-22,YES,US,YES,144,YES,63,1
MB 7081,64409,PICL02,WORKING,2024-04-26,YES,US,YES,144,YES,45,1
MB 7082,64447,PICL02,WORKING,2024-04-24,YES,US,YES,144,YES,39,1
MB 7082,70464,PICL02,WORKING,2024-04-24,YES,US,YES,144,YES,39,1
MB 7081,64370,PICL02,WORKING,2024-04-22,YES,US,YES,143,YES,45,1
MB 7081,64398,PICL02,WORKING,2024-04-22,YES,US,YES,143,YES,45,1
MB 7082,70269,PICL02,WORKING,2024-04-22,YES,US,YES,143,YES,39,1
MB 7082,64438,PICL02,WORKING,2024-04-26,YES,TR,NO,142,YES,39,1
SPGVA,58224,PICL02,WORKING,2024-04-22,YES,US,YES,141,YES,63,1
SPGVA,58480,PICL02,WORKING,2024-04-24,YES,US,YES,141,YES,63,1
MB 7082,64448,PICL02,WORKING,2024-04-22,YES,US,YES,141,YES,39,1
MB 7082,70387,PICL02,WORKING,2024-04-22,YES,US,YES,141,YES,39,1
MB 7082,70438,PICL02,WORKING,2024-04-22,YES,US,YES,141,YES,39,1
SPGVA,58353,PICL02,WORKING,2024-04-22,YES,US,YES,140,YES,63,1
MB 7082,70394,PICL02,WORKING,2024-04-22,YES,US,YES,140,YES,39,1
SPGVA,58500,PICL02,WORKING,2024-04-24,YES,US,YES,139,YES,63,1
SPGVA,58521,PICL02,WORKING,2024-04-24,YES,US,YES,139,YES,63,1
MB 7081,64362,PICL02,WORKING,2024-04-22,YES,US,YES,139,YES,45,1
MB 7081,64363,PICL02,WORKING,2024-04-26,YES,US,YES,139,YES,45,1
MB 7082,64442,PICL02,WORKING,2024-04-26,YES,US,YES,139,YES,39,1
MB 7082,64444,PICL02,WORKING,2024-04-24,YES,US,YES,139,YES,39,1
MB 7081,64455,PICL02,WORKING,2024-04-22,YES,US,YES,139,YES,45,1
MB 7081,64457,PICL02,WORKING,2024-04-22,YES,US,YES,139,YES,45,1
MB 7082,70474,PICL02,WORKING,2024-04-24,YES,US,YES,139,YES,39,1
MB 7082,70477,PICL02,WORKING,2024-04-22,YES,US,YES,139,YES,39,1
MB 7082,70478,PICL02,WORKING,2024-04-24,YES,US,YES,139,YES,39,1
MB 7082,70480,PICL02,WORKING,2024-04-26,YES,US,YES,139,YES,39,1
MB 7082,70422,PICL02,WORKING,2024-04-26,YES,US,YES,138,YES,39,1
SPGVA,58221,PICL02,WORKING,2024-04-24,YES,US,YES,137,YES,63,1
SPGVA,58404,PICL02,WORKING,2024-04-24,YES,US,YES,137,YES,63,1
SPGVA,58522,PICL02,WORKING,2024-04-22,YES,US,YES,137,YES,63,1
MB 7081,64061,PICL02,WORKING,2024-04-26,YES,US,YES,137,YES,45,1
MB 7081,64212,PICL02,WORKING,2024-04-24,YES,US,YES,137,YES,45,1
MB 7081,64361,PICL02,WORKING,2024-04-24,YES,US,YES,137,YES,45,1
MB 7081,64367,PICL02,WORKING,2024-04-24,YES,US,YES,137,YES,45,1
MB 7081,64401,PICL02,WORKING,2024-04-24,YES,US,YES,137,YES,45,1
MB 7082,70305,PICL02,WORKING,2024-04-26,YES,US,YES,137,YES,39,1
MB 7082,70340,PICL02,WORKING,2024-04-24,YES,US,YES,137,YES,39,1
MB 7082,70465,PICL02,WORKING,2024-04-24,YES,US,YES,137,YES,39,1
MB 7081,64062,PICL02,WORKING,2024-04-24,YES,US,YES,136,YES,45,1
MB 7081,64376,PICL02,WORKING,2024-04-24,YES,US,YES,136,YES,45,1
MB 7082,64440,PICL02,WORKING,2024-04-24,YES,US,YES,136,YES,39,1
MB 7082,70476,PICL02,WORKING,2024-04-24,YES,US,YES,136,YES,39,1
SPGVA,58291,PICL02,WORKING,2024-04-24,YES,US,YES,135,YES,63,1
SPGVA,58485,PICL02,WORKING,2024-04-24,YES,US,YES,135,YES,63,1
SPGVA,58507,PICL02,WORKING,2024-04-24,YES,TR,NO,135,YES,63,1
MB 7081,64405,PICL02,WORKING,2024-04-24,YES,US,YES,135,YES,45,1
MB 7081,64412,PICL02,WORKING,2024-04-24,YES,TR,NO,135,YES,45,1
MB 7082,70393,PICL02,WORKING,2024-04-26,YES,US,YES,135,YES,39,1
SPGVA,58411,PICL02,WORKING,2024-04-24,YES,US,YES,134,YES,63,1
SPGVA,58494,PICL02,WORKING,2024-04-24,YES,US,YES,134,YES,63,1
SPGVA,58516,PICL02,WORKING,2024-04-24,YES,US,YES,134,YES,63,1
SPGVA,58519,PICL02,WORKING,2024-04-26,YES,US,YES,134,YES,63,1
MB 7081,64353,PICL02,WORKING,2024-04-26,YES,US,YES,134,YES,45,1
MB 7081,64357,PICL02,WORKING,2024-04-24,YES,US,YES,134,YES,45,1
MB 7081,64459,PICL02,WORKING,2024-04-24,YES,US,YES,134,YES,45,1
SPGVA,58329,PICL02,WORKING,2024-04-26,YES,US,YES,133,YES,63,1
SPGVA,58422,PICL02,WORKING,2024-04-24,YES,US,YES,133,YES,63,1
MB 7081,64065,PICL02,WORKING,2024-04-24,YES,US,YES,133,YES,45,1
MB 7081,64328,PICL02,WORKING,2024-04-24,YES,US,YES,133,YES,45,1
MB 7081,64337,PICL02,WORKING,2024-04-24,YES,US,YES,133,YES,45,1
MB 7082,70383,PICL02,WORKING,2024-04-26,YES,US,YES,133,YES,39,1
MB 7082,70449,PICL02,WORKING,2024-04-26,YES,US,YES,133,YES,39,1
SPGVA,58218,PICL02,WORKING,2024-04-24,YES,US,YES,132,YES,63,1
SPGVA,58515,PICL02,WORKING,2024-04-24,YES,US,YES,132,YES,63,1
MB 7082,70384,PICL02,WORKING,2024-04-26,YES,US,YES,132,YES,39,1
SPGVA,58356,PICL02,WORKING,2024-04-26,YES,US,YES,131,YES,63,1
SPGVA,58513,PICL02,WORKING,2024-04-24,YES,US,YES,131,YES,63,1
SPGVA,58523,PICL02,WORKING,2024-04-26,YES,TR,NO,131,YES,63,1
MB 7081,64358,PICL02,WORKING,2024-04-26,YES,US,YES,131,YES,45,1
MB 7082,70479,PICL02,WORKING,2024-04-26,YES,US,YES,131,YES,39,1
SPGVA,58336,PICL02,WORKING,2024-04-26,YES,TR,NO,130,YES,63,1
SPGVA,58340,PICL02,WORKING,2024-04-26,YES,US,YES,130,YES,63,1
SPGVA,58341,PICL02,WORKING,2024-04-26,YES,US,YES,130,YES,63,1
SPGVA,58408,PICL02,WORKING,2024-04-26,YES,US,YES,130,YES,63,1
SPGVA,58506,PICL02,WORKING,2024-04-26,YES,US,YES,130,YES,63,1
MB 7081,64460,PICL02,WORKING,2024-04-26,YES,US,YES,130,YES,45,1
MB 7082,70421,PICL02,WORKING,2024-04-26,YES,US,YES,130,YES,39,1
MB 7082,70452,PICL02,WORKING,2024-04-26,YES,US,YES,130,YES,39,1
SPGVA,58332,PICL02,WORKING,2024-04-26,YES,US,YES,129,YES,63,1
SPGVA,58509,PICL02,WORKING,2024-04-26,YES,TR,NO,129,YES,63,1
MB 7082,64450,PICL02,WORKING,2024-04-26,YES,US,YES,129,YES,39,1
MB 7082,70414,PICL02,WORKING,2024-04-28,YES,US,NO,129,YES,39,NA
MB 7082,70450,PICL02,WORKING,2024-04-26,YES,US,YES,129,YES,39,1
SPGVA,58484,PICL02,WORKING,2024-04-26,YES,US,YES,128,YES,63,1
SPGVA,58498,PICL02,WORKING,2024-04-26,YES,US,YES,128,YES,63,1
SPGVA,58508,PICL02,WORKING,2024-04-26,YES,TR,NO,128,YES,63,1
MB 7081,64300,PICL02,WORKING,2024-04-26,YES,US,YES,128,YES,45,1
MB 7082,70433,PICL02,WORKING,2024-04-26,YES,TR,NO,128,YES,39,1
SPGVA,58355,PICL02,WORKING,2024-04-26,YES,US,YES,127,YES,63,1
SPGVA,58524,PICL02,WORKING,2024-04-26,YES,TR,NO,127,YES,63,1
MB 7081,64072,PICL02,WORKING,2024-04-26,YES,US,YES,127,YES,45,1
MB 7081,64306,PICL02,WORKING,2024-04-26,YES,US,YES,127,YES,45,1
MB 7081,64389,PICL02,WORKING,2024-04-26,YES,US,YES,127,YES,45,1
MB 7081,64400,PICL02,WORKING,2024-04-26,YES,US,YES,127,YES,45,1
MB 7082,70462,PICL02,WORKING,2024-04-26,YES,US,YES,127,YES,39,1
MB 7082,70475,PICL02,WORKING,2024-04-26,YES,US,YES,127,YES,39,1
SPGVA,58344,PICL02,WORKING,2024-04-26,YES,US,YES,126,YES,63,1
SPGVA,58414,PICL02,WORKING,2024-04-26,YES,US,YES,126,YES,63,1
SPGVA,58492,PICL02,WORKING,2024-04-26,YES,US,YES,126,YES,63,1
MB 7081,64399,PICL02,WORKING,2024-04-26,YES,US,YES,126,YES,45,1
