Boar Stud,BoarID,Breed,1,2,3,4,5,6,7,8,9,10,Last Collection Date,Reason_Studout
High Desert,1872G,SPG240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingold,Z90612,PIC800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingold,Z91042,PIC800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingold,Z91598,PIC800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skyline Boar Stud,2085349,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2085538,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2085545,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2096839,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2103364,SPG240,US,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,3057F,SPG240,US,US,US,US,US,US,US,US,US,TR,2024-04-26,NA
Skyline Boar Stud,5324F,SPG240,US,US,US,US,US,US,US,US,US,TR,2024-04-26,NA
Skyline Boar Stud,6953G,SPG240,US,US,US,US,US,US,US,US,US,TR,2024-04-26,NA
Skyline Boar Stud,7715G,SPG240,US,US,US,US,US,US,US,US,US,TR,2024-04-26,NA
SPG62,2092355,SPG120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPG62,2115430,SPG120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPG9644,2022481,SPG240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,semen quality       
SPGTX,3135Y,SPG110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPGVA,2063956,SPG240,US,TR,TR,US,TR,TR,TR,TR,TR,TR,2024-04-06,NA
SPGVA,2093110,SPG240,US,US,US,TR,TR,TR,TR,TR,TR,TR,2024-04-08,NA
SPGVA,2105622,SPG240,TR,NC,TR,US,TR,TR,TR,TR,TR,TR,2024-04-05,NA
SPGVA,2106336,SPG240,TR,NC,NC,TR,NC,US,US,US,US,US,2024-03-22,Legs/Rupture        
SPGVA,2106789,SPG240,US,US,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-06,NA
