Boar Stud,Inventory,Target,Inventory to target,actual,target,Missed Index,WeekCommencing,yrwk,Average Days Rest,Standard Deviation,Total Boars,Boars Trained Within 14 Days,Percent Trained,Semen Quality Cull Errors,Will Not Train Errors,Index Cull Errors,Removal Reason Errors,IScore,TScore,RScore,CScore,Total
MB 7094,464,450,103.1111111,105.9908807,106.1088016,0.117920913,19632,202340,9.132768362,4.02638602,79,79,100,0,0,0,0,3,3,0,1,7
MBW Cimarron,297,399,74.43609023,105.1670508,105.1670508,0,19632,202340,6.363309353,2.153249375,28,28,100,0,0,9,9,4,3,2,0,9
MBW Cyclone,359,403,89.08188586,105.3018091,105.3451495,0.059478455,19632,202340,7.428571429,1.893966212,83,82,98.79518072,0,0,0,0,4,3,2,1,10
MBW Yuma,148,203,72.90640394,103.3901842,103.3901842,0.097826087,19632,202340,7.317567568,1.106795105,30,28,93.33333333,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,201,200,100.5,106.5824607,106.6029049,0.020444161,19632,202340,7.106382979,0.536737722,58,58,100,0,0,0,0,4,3,2,1,10
SPGNC,188,220,85.45454545,111.9356515,111.9356515,0,19632,202340,7.624203822,1.855048595,85,83,97.64705882,0,0,0,0,4,3,2,1,10
SPGVA,257,292,88.01369863,111.0230577,111.2883435,0.136831629,19632,202340,8.970149254,3.15897206,85,70,82.35294118,0,0,0,0,3,2,1,1,7
MB 7081,207,200,103.5,106.4109445,106.4109445,0,19639,202341,8.891025641,3.312875601,71,66,92.95774648,0,0,0,0,4,3,1,1,9
MB 7082,193,200,96.5,104.8105059,104.8309141,0.011491985,19639,202341,6.963855422,1.610163049,54,54,100,2,0,0,2,4,3,2,0,9
MB 7092,542,250,216.8,104.9729942,105.0916926,0.118698439,19639,202341,7.664268585,1.910873241,135,135,100,0,0,0,0,3,3,2,1,9
MB 7093,413,450,91.77777778,103.9503616,103.9948425,0.044480944,19639,202341,7.979289941,2.800410647,130,127,97.69230769,0,0,0,0,4,3,2,1,10
MB 7094,462,450,102.6666667,105.3159489,105.3227467,0.006797787,19639,202341,8,2.827358786,79,79,100,0,0,0,0,4,3,2,1,10
MBW Cimarron,296,399,74.18546366,103.937978,104.6475239,0.709545864,19639,202341,6.878640777,0.877818859,19,19,100,0,0,0,0,0,3,2,1,6
MBW Cyclone,318,403,78.90818859,104.7333764,104.7349968,0.0300397,19639,202341,7.13,1.579477497,83,82,98.79518072,1,0,0,1,4,3,2,0,9
MBW Yuma,145,203,71.42857143,103.0902196,103.0902196,0.010989011,19639,202341,6.489655172,1.131108364,30,28,93.33333333,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,199,200,99.5,107.6476624,108.2203242,0.572661868,19639,202341,7.604060914,3.398016191,58,58,100,0,0,0,0,0,3,2,1,6
SPGNC,187,220,85,112.3228385,112.3228385,0,19639,202341,8.364779874,2.969084127,85,83,97.64705882,0,0,0,0,4,3,1,1,9
SPGVA,283,292,96.91780822,110.9124862,110.9124862,0,19639,202341,8.224358974,2.923925152,60,51,85,0,0,0,0,4,2,1,1,8
MB 7081,207,200,103.5,105.3117955,106.8560732,0.996308201,19646,202342,8.758169935,3.316676649,71,66,92.95774648,0,0,0,0,0,3,1,1,5
MB 7082,193,200,96.5,104.4542375,104.4544926,1.64e-4,19646,202342,6.521276596,1.830979536,54,54,100,0,0,0,0,4,3,2,1,10
MB 7092,539,250,215.6,105.1849127,105.2058973,0.020984659,19646,202342,7.490364026,1.192525576,135,135,100,0,0,0,0,4,3,2,1,10
MB 7093,411,450,91.33333333,104.6454662,104.6625532,0.017086968,19646,202342,8.862686567,3.112503076,130,127,97.69230769,0,0,0,0,4,3,1,1,9
MB 7094,459,450,102,105.4421207,105.4497358,0.007615112,19646,202342,9.505617978,4.543061189,79,79,100,0,0,0,0,4,3,0,1,8
MBW Cimarron,320,399,80.20050125,103.9754172,103.9764144,9.97e-4,19646,202342,9.300341297,3.869254453,19,19,100,0,0,0,0,4,3,0,1,8
MBW Cyclone,294,403,72.9528536,105.3608135,105.4478667,0.091984294,19646,202342,7.151202749,0.974408891,83,82,98.79518072,0,0,1,1,4,3,2,0,9
MBW Yuma,143,203,70.44334975,103.2411767,103.2411767,0,19646,202342,7.121428571,0.91720452,30,28,93.33333333,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,195,200,97.5,107.4069131,107.4069131,0,19646,202342,6.923857868,0.768837806,58,58,100,0,0,0,0,4,3,2,1,10
SPGNC,186,220,84.54545455,112.1873283,112.1873283,0,19646,202342,8.118012422,2.550438399,85,83,97.64705882,0,0,0,0,4,3,1,1,9
SPGVA,283,292,96.91780822,110.4083795,110.4083795,0,19646,202342,8.232432432,3.061866976,61,52,85.24590164,0,0,0,0,4,2,1,1,8
MB 7081,222,200,111,107.641573,107.641573,0,19653,202343,9.132867133,3.440106783,57,55,96.49122807,0,0,0,0,4,3,0,1,8
MB 7082,190,200,95,105.2865867,105.2865867,0.064220183,19653,202343,6.605882353,1.265365017,79,78,98.73417722,0,0,0,0,4,3,2,1,10
MB 7092,538,250,215.2,106.1877313,106.21,0.03,19653,202343,7.955156951,1.790802431,116,116,100,0,0,0,0,4,3,2,1,10
MB 7093,410,450,91.11111111,104.1662551,104.3300748,0.163819757,19653,202343,7.849673203,2.50054746,130,127,97.69230769,0,0,0,0,3,3,2,1,9
MB 7094,458,450,101.7777778,105.1777459,105.2025863,0.024840422,19653,202343,8.98255814,4.211567906,79,79,100,0,0,0,0,4,3,1,1,9
MBW Cimarron,320,399,80.20050125,104.0514447,104.0514447,0,19653,202343,6.514563107,1.352228159,19,19,100,0,0,0,0,4,3,2,1,10
MBW Cyclone,292,403,72.45657568,103.6416453,106.8126013,2.768278596,19653,202343,7.061797753,0.969361793,83,82,98.79518072,0,0,1,1,0,3,2,0,5
MBW Yuma,143,203,70.44334975,103.1603611,103.1603611,0.011235955,19653,202343,7.125874126,0.637635739,30,28,93.33333333,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,194,200,97,107.5101655,107.5101655,0,19653,202343,7.154639175,0.563854356,58,58,100,0,0,0,0,4,3,2,1,10
SPGNC,187,220,85,110.9669784,110.9669784,0,19653,202343,7.839160839,2.639489787,56,54,96.42857143,0,0,0,0,4,3,2,1,10
SPGVA,283,292,96.91780822,110.0580843,110.074248,0.175440678,19653,202343,8.37254902,2.787804435,87,74,85.05747126,0,0,0,0,3,2,1,1,7
MB 7081,221,200,110.5,107.5000448,107.7956371,0.301594786,19660,202344,9.56547619,3.501308363,57,55,96.49122807,0,0,0,0,1,3,0,1,5
MB 7082,187,200,93.5,105.1743491,105.1743491,0.008928571,19660,202344,7.502793296,2.592934006,79,78,98.73417722,0,0,0,0,4,3,2,1,10
MB 7092,531,250,212.4,105.467343,105.6109201,0.143577117,19660,202344,7.854214123,1.89487997,116,116,100,0,0,0,0,3,3,2,1,9
MB 7093,482,450,107.1111111,105.2955743,105.3487535,0.053179231,19660,202344,9.167701863,3.18042303,130,127,97.69230769,0,0,0,0,4,3,0,1,8
MB 7094,452,450,100.4444444,104.7317707,104.847742,0.115971314,19660,202344,8.761772853,3.862753935,79,79,100,0,0,0,0,3,3,1,1,8
MBW Cimarron,319,399,79.94987469,103.6640119,103.6640119,0,19660,202344,7.083067093,1.698264815,44,43,97.72727273,0,0,0,0,4,3,2,1,10
MBW Cyclone,292,403,72.45657568,104.4892423,105.0860308,0.583456496,19660,202344,10.20377358,4.22250295,83,82,98.79518072,0,0,1,1,0,3,0,0,3
MBW Yuma,178,203,87.68472906,106.7708177,106.9127783,0.100663006,19660,202344,6.907801418,1.02748451,30,28,93.33333333,1,0,0,1,3,3,2,0,8
Skyline Boar Stud,192,200,96,105.9340449,105.9340449,0,19660,202344,6.9375,0.537835491,58,58,100,0,0,0,0,4,3,2,1,10
SPGNC,184,220,83.63636364,111.9463612,111.9463612,0,19660,202344,7.49132948,2.019148154,56,54,96.42857143,0,0,0,0,4,3,2,1,10
SPGVA,258,292,88.35616438,109.7820484,109.8462879,0.101377021,19660,202344,7.352941176,2.179831687,87,74,85.05747126,0,0,0,0,3,2,2,1,8
MB 7081,221,200,110.5,108.1903361,108.1903361,0,19667,202345,8.007352941,2.816607688,87,84,96.55172414,0,0,0,0,4,3,1,1,9
MB 7082,186,200,93,104.9038443,104.9038443,0,19667,202345,6.935294118,1.077714641,79,78,98.73417722,0,0,0,0,4,3,2,1,10
MB 7092,465,250,186,105.5287984,105.6079017,0.07910328,19667,202345,7.146401985,1.266053416,116,116,100,3,0,0,3,4,3,2,0,9
MB 7093,478,450,106.2222222,104.7346673,104.7638872,0.02921988,19667,202345,7.391566265,2.698940368,50,48,96,0,0,0,0,4,3,2,1,10
MB 7094,451,450,100.2222222,105.0732761,105.2211086,0.147832531,19667,202345,9.185279188,3.842799889,79,79,100,0,0,0,0,3,3,0,1,7
MBW Cimarron,317,399,79.44862155,104.4207981,104.4229381,0.002140032,19667,202345,7.045901639,1.247836782,44,43,97.72727273,0,0,0,0,4,3,2,1,10
MBW Cyclone,375,403,93.05210918,104.5081545,104.7038021,0.249607577,19667,202345,7.381818182,2.746536698,83,82,98.79518072,1,0,1,2,2,3,2,0,7
MBW Yuma,173,203,85.22167488,106.6504729,106.6504729,0.018691589,19667,202345,6.809248555,1.382416998,38,38,100,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,190,200,95,103.9611907,103.9737787,0.012587995,19667,202345,7,0.271448357,58,58,100,0,0,0,0,4,3,2,1,10
SPGNC,183,220,83.18181818,111.03591,111.2801254,0.244215384,19667,202345,7.083333333,1.77277031,85,83,97.64705882,0,0,0,0,2,3,2,1,8
SPGVA,256,292,87.67123288,109.6416934,109.9127743,0.183764175,19667,202345,6.910994764,1.634314456,58,54,93.10344828,0,0,0,0,3,3,2,1,9
MB 7081,221,200,110.5,107.3190402,107.3413084,0.014716418,19674,202346,10.29292929,4.660564714,87,84,96.55172414,0,0,0,0,4,3,0,1,8
MB 7082,179,200,89.5,103.9479958,103.9479958,0,19674,202346,7.05625,1.777733965,46,45,97.82608696,0,0,0,0,4,3,2,1,10
MB 7092,460,250,184,104.6324117,104.8243562,0.191944465,19674,202346,7.637209302,1.524779514,116,116,100,3,0,0,3,3,3,2,0,8
MB 7093,475,450,105.5555556,104.8769619,104.9288601,0.051898203,19674,202346,8.942643392,3.31122364,125,122,97.6,0,0,0,0,4,3,1,1,9
MB 7094,451,450,100.2222222,103.6871887,104.0141132,0.326924552,19674,202346,7.875661376,2.29932298,79,79,100,0,0,0,0,1,3,2,1,7
MBW Cimarron,316,399,79.19799499,103.5961683,103.5961683,0,19674,202346,6.84717608,1.613453955,44,43,97.72727273,0,0,0,0,4,3,2,1,10
MBW Cyclone,374,403,92.80397022,106.7623629,108.2408283,1.337367108,19674,202346,7.25,1.337211873,83,82,98.79518072,2,0,0,2,0,3,2,0,5
MBW Yuma,165,203,81.28078818,105.8156541,105.8156541,0,19674,202346,6.941860465,1.007047113,38,38,100,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,265,200,132.5,109.0012258,109.0012258,0,19674,202346,7.481283422,1.103962784,58,58,100,1,0,0,1,4,3,2,0,9
SPGNC,182,220,82.72727273,111.8381496,111.8381496,0,19674,202346,7.713286713,1.701790183,85,83,97.64705882,0,0,0,0,4,3,2,1,10
SPGVA,261,292,89.38356164,108.178193,108.2355325,0.145187472,19674,202346,7.143518519,2.17656752,58,54,93.10344828,1,0,0,1,3,3,2,0,8
MB 7081,221,200,110.5,107.8957308,107.8957308,0,19681,202347,8.361702128,2.959914564,87,84,96.55172414,0,0,0,0,4,3,1,1,9
MB 7082,179,200,89.5,104.3977836,104.3977836,0.027777778,19681,202347,7.207100592,2.011501866,46,45,97.82608696,0,0,0,0,4,3,2,1,10
MB 7092,458,250,183.2,105.4584721,105.4594838,0.001011777,19681,202347,6.874125874,1.460702364,116,116,100,3,0,0,3,4,3,2,0,9
MB 7093,472,450,104.8888889,104.6632865,104.7617938,0.098507342,19681,202347,7.832352941,2.157134091,125,122,97.6,0,0,0,0,4,3,2,1,10
MB 7094,509,450,113.1111111,105.786742,107.17401,1.387268012,19681,202347,8.230337079,2.736869992,79,79,100,0,0,0,0,0,3,1,1,5
MBW Cimarron,316,399,79.19799499,104.283698,105.1396457,0.85594768,19681,202347,7.257281553,1.071502427,44,43,97.72727273,0,0,0,0,0,3,2,1,6
MBW Cyclone,374,403,92.80397022,107.251078,107.6848616,0.391586737,19681,202347,7.085409253,2.28656806,168,144,85.71428571,2,0,0,2,1,2,2,0,5
MBW Yuma,163,203,80.2955665,106.1464118,106.2213045,0.104246463,19681,202347,6.907407407,0.931208762,38,38,100,0,0,0,0,3,3,2,1,9
Skyline Boar Stud,265,200,132.5,106.6327454,106.6327454,0,19681,202347,6.713207547,0.702279227,58,58,100,0,0,0,0,4,3,2,1,10
SPGNC,182,220,82.72727273,114.1278578,114.1278578,0,19681,202347,7.264705882,2.391637465,85,83,97.64705882,0,0,0,0,4,3,2,1,10
SPGVA,258,292,88.35616438,109.7264311,109.7293471,0.001487175,19681,202347,6.835680751,1.416294705,58,54,93.10344828,0,0,0,0,4,3,2,1,10
MB 7081,219,200,109.5,108.36970857348176,108.36970857348176,0.1573033707865175,19688,202348,10.08152174,3.3614474291883485,49,47,95.91836734693877,1,0,0,1,3,3,0,0,6
MB 7082,178,200,89,103.64233065562877,103.64233065562877,0,19688,202348,7.113095238,1.9589365171695947,65,64,98.46153846153847,0,0,0,0,4,3,2,1,10
MB 7092,457,250,182.8,104.68878326994327,104.7568341129511,0.068050843,19688,202348,7.276497696,1.2520839686014908,116,116,100,3,0,0,3,4,3,2,0,9
MB 7093,467,450,103.77777777777777,104.92987045445217,105.13196841429242,0.2020979598402448,19688,202348,7.643076923,2.058254176823226,125,122,97.6,0,0,0,0,2,3,2,1,8
MB 7094,508,450,112.88888888888889,105.52104496060663,105.64893505181409,0.12789009120746186,19688,202348,8.557324841,3.0561665273710363,60,60,100,0,0,0,0,3,3,1,1,8
MBW Cimarron,311,399,77.94486215538848,103.61693406760335,103.61693406760335,0,19688,202348,9.792332268,3.857851466882302,44,43,97.72727272727273,0,0,0,0,4,3,0,1,8
MBW Cyclone,368,403,91.31513648,107.47116840960628,107.84081528131742,0.35935107726934484,19688,202348,8.36416185,2.8151328163567597,168,144,85.71428571428571,2,0,0,2,1,2,1,0,4
MBW Yuma,179,203,88.17733990147784,105.11142114188972,105.11142114188972,0,19688,202348,7.154320988,1.662785912104944,38,38,100,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,261,200,130.5,107.28017377214542,107.28017377214542,0,19688,202348,6.991666667,0.6203769043789028,80,78,97.5,0,0,0,0,4,3,2,1,10
SPGNC,182,220,82.72727272727273,112.36957264831759,112.36957264831759,0,19688,202348,7.584615385,1.6880088512599754,57,55,96.49122807017544,0,0,0,0,4,3,2,1,10
SPGVA,256,292,87.67123287671232,111.77986070431982,111.9817427376716,0.12255067290754598,19688,202348,7.316455696,1.3296900090903214,88,84,95.45454545454545,0,0,0,0,3,3,2,1,9
MB 7081,219,200,109.5,107.4898424702622,107.5041104024015,0.018990785,19695,202349,7.771428571,2.973123874042389,49,47,95.91836734693877,1,0,0,1,4,3,2,0,9
MB 7082,178,200,89,103.44706031794512,103.45108948586196,0.022861598634125298,19695,202349,7.121794872,1.160327810844286,65,64,98.46153846153847,0,0,0,0,4,3,2,1,10
MB 7092,512,250,204.8,107.19753880989202,107.41799077331254,0.22045196342051554,19695,202349,7.257731959,1.1727161036462286,116,116,100,0,0,0,0,2,3,2,1,8
MB 7093,415,450,92.22222222222223,104.74803885626542,104.81309808026154,0.065059224,19695,202349,10.07466667,5.782582489645467,125,122,97.6,0,0,0,0,4,3,0,1,8
MB 7094,474,450,105.33333333333333,104.90747480957181,105.02810064504075,0.12062583546894246,19695,202349,8.836683417,3.8111543905608927,60,60,100,0,1,2,3,3,3,1,0,7
MBW Cimarron,340,399,85.21303258145363,102.8258853185893,102.82630591742324,4.2059883394074404e-4,19695,202349,6.813148789,1.030624868779178,44,43,97.72727272727273,2,0,0,2,4,3,2,0,9
MBW Cyclone,368,403,91.31513648,106.07203652955421,109.68835490064026,3.1593111044103424,19695,202349,7.21875,2.037363685094125,168,144,85.71428571428571,1,0,0,1,0,2,2,0,4
MBW Yuma,166,203,81.77339901477832,104.18880215084634,104.20047302994138,0.008705328,19695,202349,6.581818182,1.4401588973677195,38,38,100,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,254,200,127,106.82867050155664,106.82867050155664,0,19695,202349,7.65503876,2.0747682347828214,80,78,97.5,0,0,0,0,4,3,2,1,10
SPGNC,182,220,82.72727272727273,112.31427352850994,112.31427352850994,0,19695,202349,7.844155844,2.4816446953289892,57,55,96.49122807017544,0,0,0,0,4,3,2,1,10
SPGVA,255,292,87.32876712328768,111.08853171921794,111.08853171921794,0.21212121212121327,19695,202349,7.2,1.0538037213376232,88,84,95.45454545454545,0,0,0,0,2,3,2,1,8
MB 7081,219,200,109.5,107.65228352336948,108.18961462011295,0.3486935840569339,19702,202350,9.72392638,3.737181124855844,64,61,95.3125,1,0,0,1,1,3,0,0,4
MB 7082,181,200,90.5,103.1696674781851,103.1696674781851,0,19702,202350,7.013245033,1.455961331752495,65,64,98.46153846153847,0,0,0,0,4,3,2,1,10
MB 7092,467,250,186.8,105.53712810198738,105.58400997016565,0.046881868,19702,202350,7.355971897,1.4256966600032823,116,116,100,0,0,0,0,4,3,2,1,10
MB 7093,413,450,91.77777777777779,105.78494129207684,105.80232162450712,0.017380332430278145,19702,202350,8.013745704,2.1285781373571733,125,122,97.6,0,0,0,0,4,3,1,1,9
MB 7094,472,450,104.8888888888889,104.72037774168975,104.8980990227283,0.17772128103855778,19702,202350,8.125,2.874414997939837,60,60,100,0,1,2,3,3,3,1,0,7
MBW Cimarron,333,399,83.45864661654136,103.67798891682384,105.16073562848233,1.4827467116584927,19702,202350,6.751592357,3.9705884370167888,44,43,97.72727272727273,1,0,0,1,0,3,2,0,5
MBW Cyclone,333,403,82.63027295,107.44598624165276,108.24777379338727,0.7299922954467604,19702,202350,10.62987013,5.556873607,168,144,85.71428571428571,0,0,0,0,0,2,0,1,3
MBW Yuma,162,203,79.80295566502463,103.64384906518055,103.89958604137196,0.22380326674479695,19702,202350,6.754716981,1.2912410923734834,57,56,98.24561403508771,0,0,0,0,2,3,2,1,8
Skyline Boar Stud,251,200,125.49999999999999,105.83183319991339,105.83183319991339,0,19702,202350,6.807086614,0.6209365745569212,80,78,97.5,0,0,0,0,4,3,2,1,10
SPGNC,182,220,82.72727272727273,113.15468404002482,113.15468404002482,0,19702,202350,7.872611465,2.0560296398943576,57,55,96.49122807017544,0,0,0,0,4,3,2,1,10
SPGVA,229,292,78.42465753424658,110.83520741801267,110.90759509825887,0.074006026,19702,202350,7.187793427,1.3502065930511742,88,84,95.45454545454545,0,0,0,0,4,3,2,1,10
MB 7081,219,200,109.5,107.60160754317248,107.60160754317248,0,19709,202351,9.88125,5.257366051431281,64,61,95.3125,1,0,0,1,4,3,0,0,7
MB 7082,181,200,90.5,105.87651093940785,105.90503595757505,0.018266020405313055,19709,202351,7.035087719,1.498606163552163,44,43,97.72727272727273,0,0,0,0,4,3,2,1,10
MB 7092,460,250,184,105.60601061086348,105.61259802684876,0.006587416,19709,202351,7.354988399,1.408187665002469,117,117,100,0,0,0,0,4,3,2,1,10
MB 7093,413,450,91.77777777777779,104.56951625313755,104.6547198695761,0.085203616,19709,202351,8.229110512,2.9175728557887193,125,122,97.6,0,0,0,0,4,3,1,1,9
MB 7094,470,450,104.44444444444446,104.40712653520343,104.59315288697927,0.18602635177583693,19709,202351,8.940229885,3.7943828168565146,60,60,100,0,1,2,3,3,3,1,0,7
MBW Cimarron,326,399,81.70426065162907,102.90119266932102,103.03661626026529,0.1354235909442707,19709,202351,7.369649805,1.2928337161095884,80,78,97.5,1,0,0,1,3,3,2,0,8
MBW Cyclone,359,403,89.08188586,105.3048246433922,105.30580557480177,0.018203902,19709,202351,8.165016502,4.927873543962924,168,144,85.71428571428571,4,0,0,4,4,2,1,0,7
MBW Yuma,155,203,76.35467980295566,104.71524038514418,104.71524038514418,0.054545454545456604,19709,202351,7.15483871,1.9310919308114456,57,56,98.24561403508771,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,250,200,125,105.75230293785106,105.75230293785106,0,19709,202351,7.168,0.6109575077738393,80,78,97.5,0,0,0,0,4,3,2,1,10
SPGNC,182,220,82.72727272727273,111.67230807146024,111.67230807146024,0,19709,202351,7.487012987,2.534047920339182,57,55,96.49122807017544,0,0,0,0,4,3,2,1,10
SPGVA,254,292,86.98630136986301,109.68829330525412,109.68829330525412,0,19709,202351,7.09047619,1.737953689183398,57,53,92.98245614035088,0,0,0,0,4,3,2,1,10
MB 7081,217,200,108.5,107.49499755016187,107.49499755016187,0,19716,202352,9.028901734,3.1111721892962567,64,61,95.3125,0,0,0,0,4,3,0,1,8
MB 7082,180,200,90,102.60284509992576,109.18278355194694,0,19716,202352,7.2,1.793769790941157,79,75,94.93670886,0,0,0,0,4,3,2,1,10
MB 7092,456,250,182.4,104.09835366718988,106.12783245247319,0,19716,202352,7.524590164,1.8111365451005832,117,117,100,0,0,0,0,4,3,2,1,10
MB 7093,467,450,103.77777777777777,106.33589782132283,106.34014994506488,0,19716,202352,8.104761905,2.086290678,75,74,98.66666666666667,0,0,0,0,4,3,1,1,9
MB 7094,469,450,104.22222222222221,103.48420616768313,105.37395507874994,0,19716,202352,7.586440678,2.446395211946253,60,60,100,0,1,2,3,4,3,2,0,9
MBW Cimarron,318,399,79.69924812030075,105.1162950899257,105.1162950899257,0,19716,202352,8.195571956,2.443915109111595,80,78,97.5,2,0,0,2,4,3,1,0,8
MBW Cyclone,358,403,88.83374689826302,108.69991711784031,108.98616887919758,0,19716,202352,8.842490842,1.9574772801505353,168,144,85.71428571428571,4,0,0,4,4,2,1,0,7
MBW Yuma,155,203,76.35467980295566,104.46757520929137,104.46757520929137,0,19716,202352,6.987012987,1.4095241536417586,57,56,98.24561403508771,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,249,200,124.50000000000001,104.47017756484601,106.04677448732215,0,19716,202352,6.731707317,0.7007071731889768,80,78,97.5,0,0,0,0,4,3,2,1,10
SPGNC,180,220,81.81818181818183,111.55620678787987,111.55620678787987,0,19716,202352,8.012820513,2.330685014871004,57,55,96.49122807017544,0,0,0,0,4,3,1,1,9
SPGVA,253,292,86.64383561643835,111.2038966550889,111.2038966550889,0,19716,202352,6.600896861,1.3941315560666192,57,53,92.98245614035088,0,0,0,0,4,3,2,1,10
MB 7081,226,200,112.99999999999999,106.83579285714048,106.83579285714048,0,19723,202401,9.307189542,3.962457115410698,45,43,95.55555555555556,0,0,0,0,4,3,0,1,8
MB 7082,180,200,90,106.87333521377782,106.87333521377782,0,19723,202401,7.6875,1.7236333570935365,79,75,94.93670886,0,0,0,0,4,3,2,1,10
MB 7092,449,250,179.6,106.91561994323662,106.98688755030753,0.071267607,19723,202401,7.520100503,1.3920783403755768,117,117,100,0,0,0,0,4,3,2,1,10
MB 7093,463,450,102.8888888888889,105.06701543254621,105.19908364683542,0.13206821428920534,19723,202401,8.34375,3.6885154210598077,75,74,98.66666666666667,0,0,0,0,3,3,1,1,8
MB 7094,464,450,103.11111111111111,104.7114961909507,104.86281847952188,0.1513222885711798,19723,202401,9.012919897,3.6699788229531163,60,60,100,0,0,0,0,3,3,0,1,7
MBW Cimarron,310,399,77.69423558897243,106.85217527080628,106.85217527080628,0.09009009,19723,202401,7.304347826,2.277187971999475,61,59,96.72131147540983,2,0,0,2,4,3,2,0,9
MBW Cyclone,355,403,88.08933002481389,107.2390603570433,107.40244430900765,0.2734310564390851,19723,202401,7.694267516,3.4459077371107067,115,87,75.65217391304347,4,0,0,4,2,1,2,0,5
MBW Yuma,152,203,74.87684729,102.26560672250406,108.40666934741535,5.666092865169227,19723,202401,6.594771242,1.3200772928762643,57,56,98.24561403508771,0,0,0,0,0,3,2,1,6
Skyline Boar Stud,244,200,122,105.41681847439864,105.41681847439864,0,19723,202401,7.318548387,1.2912578643102768,80,78,97.5,0,0,0,0,4,3,2,1,10
SPGNC,179,220,81.36363636363636,112.31178772505825,112.31194550382452,1.577787662654373e-4,19723,202401,7.574468085,2.1321821235304306,29,29,100,0,0,0,0,4,3,2,1,10
SPGVA,253,292,86.64383561643835,111.96942206062482,112.19501393938873,0.12046168283509624,19723,202401,6.951111111,1.7300678948049757,85,78,91.76470588235294,0,0,0,0,3,3,2,1,9
MB 7081,225,200,112.5,108.03537822383346,108.50605927716259,0.39206311626380685,19730,202402,8.796296296,3.2611755089971917,45,43,95.55555555555556,0,0,0,0,1,3,1,1,6
MB 7082,180,200,90,106.24926567245008,106.25286157988998,0.00210058,19730,202402,7.283950617,1.9351894503449332,79,75,94.93670886,0,0,0,0,4,3,2,1,10
MB 7092,446,250,178.4,105.38339468795996,105.41453427373821,0.031139585778248602,19730,202402,7.458227848,1.2544952263068105,117,117,100,0,0,0,0,4,3,2,1,10
MB 7093,460,450,102.22222222222221,104.94777265778033,104.96092774516805,0.013155087,19730,202402,8.968253968,3.483046871766996,135,134,99.25925925925925,0,0,0,0,4,3,1,1,9
MB 7094,464,450,103.11111111111111,96.09715900125339,106.27114219327093,10.173983192017545,19730,202402,9.549295775,4.171377254,60,60,100,0,0,0,0,0,3,0,1,4
MBW Cimarron,308,399,77.19298245614034,103.05068633450102,103.17641296681411,0.12112687747236645,19730,202402,5.957671958,1.3715602539129297,61,59,96.72131147540983,1,0,0,1,3,3,1,0,7
MBW Cyclone,352,403,87.34491315136476,106.72713115054079,106.72713115054079,0,19730,202402,7.649350649,2.504803118993216,115,87,75.65217391304347,4,0,0,4,4,1,2,0,7
MBW Yuma,145,203,71.42857142857143,104.1387671907649,104.1387671907649,0,19730,202402,7.308219178,1.8063683073987131,57,56,98.24561403508771,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,241,200,120.5,105.49216011668007,105.89082088967245,0.3986607729923861,19730,202402,7.218181818,0.6175783932538692,80,78,97.5,0,0,0,0,1,3,2,1,7
SPGNC,179,220,81.36363636363636,112.45676388804705,112.45676388804705,0,19730,202402,7.268456376,1.7422836539594648,29,29,100,0,0,0,0,4,3,2,1,10
SPGVA,251,292,85.95890410958904,109.19833696441464,109.60166607851767,0.2293440060585859,19730,202402,6.748858447,1.8954160234337267,85,78,91.76470588235294,0,0,0,0,2,3,2,1,8
MB 7081,225,200,112.5,109.0844991998234,109.36013123153548,0.1837546878080521,19737,202403,8.851190476,3.0907237703456145,77,72,93.50649351,0,0,0,0,3,3,1,1,8
MB 7082,186,200,93,106.90121833039156,106.90121833039156,0.032608696,19737,202403,6.853333333,1.5986011782396983,79,75,94.93670886,3,0,0,3,4,3,2,0,9
MB 7092,440,250,176,104.81103861122303,104.83650613499134,0.025467523768313072,19737,202403,7.28125,1.4628687363393327,117,117,100,0,0,0,0,4,3,2,1,10
MB 7093,459,450,102,104.13158353367957,104.13158353367957,0,19737,202403,9.105943152,8.320437465262286,135,134,99.25925925925925,0,0,0,0,4,3,0,1,8
MB 7094,461,450,102.44444444444444,105.86835784575872,106.05827248819725,0.18991464243852363,19737,202403,11.41221374,3.489162705185694,60,60,100,0,0,0,0,3,3,0,1,7
MBW Cimarron,308,399,77.19298245614034,105.9221588531717,105.92395633020405,0.001723201,19737,202403,9.346320346,3.705632828836317,61,59,96.72131147540983,1,0,0,0,4,3,0,1,8
MBW Cyclone,348,403,86.35235732009926,107.30852428289077,107.40895862742542,0.082216022,19737,202403,7.786833856,2.2031314921448444,115,87,75.65217391304347,0,0,0,0,4,1,2,1,8
