Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,Boar Stud.y,Collnum,Col_Date,Tech,Ext_Name,Tot_Ext_Vol,Used_Doses,Dose_Actual,Collection Status,Sperm_Conc,Tot_Sperm,Sem_Vol_Used,TRCODE,Motility,Ext_Batch_Num,EBV,Boar Stud,cutoff,train
Clinton,25182,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095225,2021-02-03,G,PRIMXCELL,0,20.8,20.99,US,0.324,48.27,149,NA,85,NA,NA,Clinton,2021-02-03,1
Clinton,25182,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095040,2021-01-26,G,PRIMXCELL,NA,0,0,TR,0.593,67.6,114,27,80,NA,NA,Clinton,2021-02-03,1
Clinton,25182,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095603,2021-02-18,GS,NUTRIXCELL,0,29,29.03,US,0.371,66.78,180,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,25182,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095416,2021-02-11,G,PRIMXCELL,0,24.7,24.78,US,0.471,56.99,121,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,25194,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095787,2021-02-25,O,NUTRIXCELL,0,29.7,29.7,US,0.506,68.31,135,NA,90,NA,NA,Clinton,2021-02-03,0
Clinton,25194,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095035,2021-01-26,S,PRIMXCELL,NA,0,0,TR,0.213,35.99,169,27,85,NA,NA,Clinton,2021-02-03,1
Clinton,25194,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095612,2021-02-18,O,NUTRIXCELL,0,25.8,25.98,US,0.323,59.75,185,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,25194,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095420,2021-02-11,S,PRIMXCELL,0,17.5,17.51,US,0.225,40.27,179,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,25247,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095220,2021-02-03,W,PRIMXCELL,0,29.3,29.46,US,0.394,67.76,172,NA,85,NA,NA,Clinton,2021-02-03,1
Clinton,25247,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095032,2021-01-26,W,PRIMXCELL,NA,0,0,TR,0.387,44.11,114,27,80,NA,NA,Clinton,2021-02-03,1
Clinton,25247,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095607,2021-02-18,O,NUTRIXCELL,0,28.5,28.53,US,0.459,65.63,143,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,25247,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095415,2021-02-11,S,PRIMXCELL,0,23.3,23.46,US,0.391,53.95,138,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,25247,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095781,2021-02-25,O,NUTRIXCELL,0,24.6,24.63,US,0.584,56.64,97,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001093564,2020-11-25,S,PRIMXCELL,0,41.5,41.55,US,0.345,95.56,277,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001093396,2020-11-19,S,PRIMXCELL,0,27.6,27.66,US,0.342,63.61,186,NA,85,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001093793,2020-12-04,O,PRIMXCELL,0,34.9,34.96,US,0.374,80.41,215,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001093226,2020-11-10,W,PRIMXCELL,0,35,35.07,US,0.332,80.67,243,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001092911,2020-10-27,S,PRIMXCELL,0,29.2,29.38,US,0.26,58.76,226,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001093072,2020-11-03,W,PRIMXCELL,0,34.4,34.41,US,0.279,72.26,259,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001094183,2020-12-22,W,PRIMXCELL,0,51.2,51.37,US,0.451,118.16,262,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001092742,2020-10-20,O,PRIMXCELL,0,39,39.11,US,0.318,78.22,246,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001095454,2021-02-11,G,PRIMXCELL,0,39.7,39.87,US,0.404,91.7,227,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001095633,2021-02-18,O,NUTRIXCELL,0,33.2,33.22,US,0.398,76.41,192,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001095271,2021-02-04,W,NUTRIXCELL,0,38.5,38.59,US,0.391,88.75,227,NA,80,NA,109,Clinton,2020-10-08,0
