Employee Home Business Unit,Employee Home Business Unit Desc.,Employee Number,Employee Job Type Description,Pay Per Date,Pay Type,Pay Type Description,Hours,Employee Pay Class Description
7069,Farm 7069-AI,797573,Boar Stud HOD 1 (Hourly),10/29/2023,1,Regular,76.92,Hourly
7069,Farm 7069-AI,797573,Boar Stud HOD 1 (Hourly),10/29/2023,12,Premium,14.33,Hourly
7069,Farm 7069-AI,797573,Boar Stud HOD 1 (Hourly),10/29/2023,99,PTO,19.2,Hourly
7069,Farm 7069-AI,797573,Boar Stud HOD 1 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
7069,Farm 7069-AI,3299174,Boar Stud Mgr.,10/29/2023,1,Regular,80,Salaried
7069,Farm 7069-AI,3400672,Production Mgr Trainee 1 Certf,10/29/2023,1,Regular,91.97,Hourly
7069,Farm 7069-AI,3400672,Production Mgr Trainee 1 Certf,10/29/2023,12,Premium,19.2,Hourly
7069,Farm 7069-AI,3400672,Production Mgr Trainee 1 Certf,10/29/2023,99,PTO,9.6,Hourly
7069,Farm 7069-AI,3400672,Production Mgr Trainee 1 Certf,11/2/2023,553,Qrtly Bonus,,Hourly
7069,Farm 7069-AI,3400673,Production Mgr Trainee 1 Certf,10/29/2023,1,Regular,94.78,Hourly
7069,Farm 7069-AI,3400673,Production Mgr Trainee 1 Certf,10/29/2023,12,Premium,19.23,Hourly
7069,Farm 7069-AI,3400673,Production Mgr Trainee 1 Certf,10/29/2023,99,PTO,9.6,Hourly
7069,Farm 7069-AI,3400673,Production Mgr Trainee 1 Certf,11/2/2023,553,Qrtly Bonus,,Hourly
7069,Farm 7069-AI,3424521,Production Intern OSU,10/29/2023,1,Regular,105.65,Hourly
7081,Deercroft Boar Stud,3306856,Herdsperson 4 (Hourly),10/29/2023,1,Regular,92.42,Hourly
7081,Deercroft Boar Stud,3306856,Herdsperson 4 (Hourly),10/29/2023,12,Premium,12.43,Hourly
7081,Deercroft Boar Stud,3306856,Herdsperson 4 (Hourly),10/29/2023,30,Holiday,9.6,Hourly
7081,Deercroft Boar Stud,3306856,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
7081,Deercroft Boar Stud,3315133,Herdsperson 4 (Hourly),10/29/2023,1,Regular,103.12,Hourly
7081,Deercroft Boar Stud,3315133,Herdsperson 4 (Hourly),10/29/2023,12,Premium,21.28,Hourly
7081,Deercroft Boar Stud,3315133,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
7081,Deercroft Boar Stud,3301178,Herdsperson 4 (Hourly),10/29/2023,1,Regular,80,Hourly
7081,Deercroft Boar Stud,3301178,Herdsperson 4 (Hourly),10/29/2023,99,PTO,10,Hourly
7081,Deercroft Boar Stud,3301178,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
7081,Deercroft Boar Stud,700875,Boar Stud Mgr.,10/29/2023,1,Regular,80,Salaried
7081,Deercroft Boar Stud,700875,Boar Stud Mgr.,11/2/2023,553,Qrtly Bonus,,Salaried
7081,Deercroft Boar Stud,3426703,Herdsperson 1 (Hourly),10/29/2023,1,Regular,76.82,Hourly
7081,Deercroft Boar Stud,3426703,Herdsperson 1 (Hourly),10/29/2023,12,Premium,8.38,Hourly
7081,Deercroft Boar Stud,3426703,Herdsperson 1 (Hourly),10/29/2023,99,PTO,3.72,Hourly
7082,Laurel Hill Boar Stud,38447,Boar Stud HOD 1 (Hourly),10/29/2023,1,Regular,88.62,Hourly
7082,Laurel Hill Boar Stud,38447,Boar Stud HOD 1 (Hourly),10/29/2023,12,Premium,16,Hourly
7082,Laurel Hill Boar Stud,38447,Boar Stud HOD 1 (Hourly),10/29/2023,99,PTO,9.6,Hourly
7082,Laurel Hill Boar Stud,38447,Boar Stud HOD 1 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
7082,Laurel Hill Boar Stud,67168,Boar Stud Mgr.,10/29/2023,1,Regular,80,Salaried
7082,Laurel Hill Boar Stud,67168,Boar Stud Mgr.,11/2/2023,553,Qrtly Bonus,,Salaried
7082,Laurel Hill Boar Stud,2269229,Herdsperson 4 (Hourly),10/29/2023,1,Regular,91.02,Hourly
7082,Laurel Hill Boar Stud,2269229,Herdsperson 4 (Hourly),10/29/2023,12,Premium,10.15,Hourly
7082,Laurel Hill Boar Stud,2269229,Herdsperson 4 (Hourly),10/29/2023,99,PTO,1,Hourly
7082,Laurel Hill Boar Stud,2269229,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
7082,Laurel Hill Boar Stud,3372352,Herdsperson Trainee/Laborer,10/29/2023,1,Regular,89.65,Hourly
